"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords"
"Wang, S.; Zhang, H.; Yang, G.","Wang, Shuai (57432133200); Zhang, Hanling (13611757700); Yang, Gaobo (8647279200)","57432133200; 13611757700; 8647279200","Face forgery detection via identification of evident tampered regions and multi-view analysis","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021883734&partnerID=40&md5=9d04c8c03aded5c6962fd1c1552f566a","In AI-synthesized faces, there usually exist prominent natural features, which pose a huge challenge for face forgery detection. In this work, we propose a Region-Aware Deep Neural Network (RDNN). RDNN calculates the tampering possibility of each face region based on the features learned from each region and selects the region with the highest tampering possibility as the detection result. Then, a new Latent Cue Capture Loss (LCCL) is designed to train RDNN to capture those fake face features ignored by traditional loss functions. Besides, by leveraging RDNN to locate forgeries, we propose a deepfake detection strategy namely RDNN-based Multi-Perspective Deepfake Detection (RMDD), to keep the advantages of RDNN while improving the detection robustness. Specifically, RMDD uses RDNN to locate suspected forgeries in the original and horizontally flipped faces, and mines local features in the vicinity of these suspected forgeries. Finally, the detection result is acquired by integrating the above detection clues. Ablation experiments verify the ability of RDNN to locate manipulated traces and the contribution of each component in RMDD. Moreover, experimental results demonstrate that RMDD has excellent detection accuracy and generalization ability. © 2025 Elsevier B.V.","Deepfake detection; Face forgery detection; Face manipulation detection; Image forensics"
"Rajesh, T.; Maruthupermal, S.","Rajesh, Tirupathi (60055683100); Maruthupermal, S. (60054258400)","60055683100; 60054258400","Generalizable deepfake detection framework using hybrid convolution-based EfficientNetB7 with attention mechanism","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013740842&partnerID=40&md5=87fa8f1e12c720047e82ef8f0c904675","The highly realistic fake videos have been created by the deepfake technology in recent years. The political and societal consequences occurred because of the misinformation disseminated by the fake videos. To prevent these issues, automated approaches for deep fake detection are necessary. The deep fake video is detected in this work using hybrid deep learning. The main contribution of the proposed research is to determine deepfakes from videos, which aims to avoid the spread of malicious rumours. The differences between the real and deepfake videos are effectively identified through this developed approach, as they utilize the different features from the facial landmarks along with the eye blinks for determining the sophisticated fakes from the authenticated visual contents. The required videos are collected from the public databases. The frames are extracted from the collected videos. The attained video frames are given to the facial landmark detection process, where the coordinates of the eyes, lips, and nose are extracted. From these detected facial landmarks, the texture features, shape features, and the number of eye blinks are obtained for better detection purposes. The extracted features are integrated with the optimized weights for attaining the weighted fused feature, where the Updated Random Parameter-aided Fennec Fox Optimization (URP-FFO) is used for tuning the weights optimally. Each frame of 1-dimensional data forms 2-dimensional original video frames, which are taken as feature set 1 from the weighted fused features. The 3-dimensional data from the facial images is considered as feature set 2. The attained features are given to the Hybrid 2D-3D Convolution-based EfficientNetB7 with Attention Mechanism (HC-EB7AM) for differentiating the real and fake videos. The manipulated contents are easily identified by this approach. Finally, several measures are used for validating the performance. The potential strength of the proposed model is validated by the experimentation with the accuracy of 93.66% using dataset 1 and 94.38% using dataset 2, respectively. © 2025 Elsevier Ltd","Deepfake detection; EfficientNetB7 with attention mechanism; Facial landmark extraction; Hybrid convolution network; Updated random parameter-based Fennec fox optimization; Video frames"
"Hou, S.; Jiang, X.; Xu, K.; Xu, Q.; Meng, L.; Sun, T.","Hou, Shijie (60057769500); Jiang, Xinghao (13607511800); Xu, Ke (57089521400); Xu, Qiang (57218658921); Meng, Laijin (57210134140); Sun, Tanfeng (59651207700)","60057769500; 13607511800; 57089521400; 57218658921; 57210134140; 59651207700","Normalization-consistent data curation for generalizable deepfake detection","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020666904&partnerID=40&md5=a2bd3994fd07690f43eac4b3c0e0898b","Deepfake has recently garnered considerable attention due to its potential threat. Recent detectors often struggle to generalize due to sensitivity to dataset-specific biases. We identify a key factor: their performance varies significantly with different normalization parameters, indicating reliance on preprocessing artifacts rather than authentic manipulation traces. To address this, we propose Normalization-Consistent Data Curation (NormCura), which selects training samples based on their prediction stability across normalization variations. NormCura first evaluates sample consistency under multiple normalization conditions, then trains only on stable samples. This filters out normalization-sensitive artifacts while retaining robust forensic patterns. Extensive cross-dataset evaluations on nine deepfake datasets demonstrate that this approach significantly improves generalization performance, including emerging diffusion-based synthetic faces, confirming that normalization consistency is an effective proxy for learning generalizable deepfake detection features. © 2025","Data curation; Deepfake detection; Face forgery detection"
"Chen, J.; Che, X.; Li, Q.; Zhao, Q.","Chen, Jingfei (59449491500); Che, Xun (58891358300); Li, Qianmu (59675111200); Zhao, Qian (57188569902)","59449491500; 58891358300; 59675111200; 57188569902","Boosting Video Deepfake Detection via Quality-Aware and Multi-scale Audio-Visual Alignment","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022974819&partnerID=40&md5=2a170b5a811600fb8c04350a408dc62e","Advances in deep generative models have made realistic audio-visual deepfakes increasingly common, leading to growing concerns about media authenticity. Although recent methods utilize the synchrony between speech and facial motion for detection, they often fail in real-world conditions where visual quality is degraded or forgeries display highly accurate audio-visual alignment. In this paper, we propose QM-AVAlign, a novel quality-aware and multi-scale audio-visual alignment framework for robust video deepfake detection. QM-AVAlign employs a visual quality assessment module to dynamically generate spatial reliability masks for each frame, emphasizing high-confidence visual cues while suppressing unreliable regions. Leveraging these quality-weighted visual features, we introduce a multi-scale cross-modal fusion strategy to simultaneously model global synchrony and fine-grained, physiologically grounded relationships between speech and facial expressions. Additionally, an uncertainty calibration loss is introduced, guiding the model to produce higher uncertainty scores when faced with ambiguous or low-quality samples. Extensive experiments on multiple public benchmarks demonstrate that QM-AVAlign achieves superior robustness and generalization under challenging conditions with visual impairments and advanced forgery techniques. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Audio-visual; Cross modal; Deepfake detection"
"Echchkaf, A.; Idrissi, N.","Echchkaf, Abdelghani (60209241200); Idrissi, N. (13907793900)","60209241200; 13907793900","Enhancing Fake News Detection: A Comparative Analysis of YIX and AI Methodologies for Image Classification","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022830281&partnerID=40&md5=e88ec354e101232093e2e4bb993e376f","This article presents a comparative analysis of two methodologies for Fake News detection based on YIX and Our proposed model (AI). The YIX methodology integrates YOLO v3 for object detection, InceptionResNetV2 for feature extraction, and XGBoost for classification. In contrast, the AI (InceptionResNetV2 AdaBoost) methodology enhances the YIX approach by eliminating YOLO v3 to mitigate potential feature concealment issues, incorporating modified InceptionResNetV2 architecture with additional dropout and dense layers, and substituting XGBoost with AdaBoost for improved binary classification performance. The evaluation is conducted on two datasets: CatsandDogs, comprising images of two animal types, and Caleb-DF, containing over 20,000 images classified into real and fake classes. Each dataset consists of 5,000 images for testing purposes. Results demonstrate that the AI methodology yields superior performance compared to YIX. For the CatsandDogs dataset, ours achieves an accuracy of 0.99, specificity of 1, and recall of 0.98, whereas YIX achieves an accuracy of 0.94, specificity of 0.94, and recall of 0.94. Similarly, on the Celeb-DF dataset, AI achieves an accuracy of 0.91, specificity of 0.93, and recall of 0.88, surpassing YIX with an accuracy of 0.84, specificity of 0.85, and recall of 0.81. Notably, the AI model achieves 91% higher accuracy than YIX, indicating significant improvement in positive prediction accuracy. These findings underscore the effectiveness of the AI methodology in enhancing object detection and classification performance, particularly in scenarios involving complex image datasets. The results highlight the importance of methodological enhancements and algorithmic modifications in advancing the capabilities of computer vision systems. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","AdaBoost; CelebD-F; Classification; CNN; Computer vision; dataset; Deep learning; Deepfake detection; Face recognition; Image processing; InceptionResNetV2; Object detection; XGBoost; YOLO"
"Huang, C.; Yang, R.; Lan, R.; Wu, Z.; Li, J.; Hu, T.","Huang, Chaoyi (59710033000); Yang, Rui (57215216214); Lan, Rushi (35146229200); Wu, Zhanghui (60199310600); Li, Jiahao (59710397200); Hu, Tengjie (60200097600)","59710033000; 57215216214; 35146229200; 60199310600; 59710397200; 60200097600","Spatially-Aware Framework for Sequential Deepfake Detection","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022162210&partnerID=40&md5=3df4cf4f709f8d7c687ca94da7388b0a","With the rapid advancements in facial editing technologies, deepfake detection for multi-step continuous facial manipulation has emerged as a crucial research area in computer vision and visual security. Current state-of-the-art detection methods typically rely on traditional convolutional neural network (CNN) feature extractors, which struggle to capture fine-grained local manipulation traces, thereby limiting their detection performance in complex, continuous forgery scenarios. To address this challenge, this paper introduces a coordinate-based multi-scale strategy, MSCP-SeqFakeFormer. By incorporating coordinate positioning between the CNN feature extraction and Transformer encoder, the approach leverages multiple scales and receptive fields to effectively enhance local detail features associated with facial forgeries. This enhancement significantly improves the model’s ability to recognize manipulation types and their sequences. Experimental results on the publicly available Seq-DeepFake dataset demonstrate that the proposed method outperforms the baseline model in both fixed-length (Fixed-Acc) and adaptive-length (Adaptive-Acc) evaluation metrics, and also achieves superior performance in the facial image recovery task. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Deepfake Detection; Feature Enhancement; Multi-step Forgery; Seq-DeepFake Dataset"
"Patil, V.; Bhende, B.; Jadhav, O.; Shinde, G.; Moholkar, K.","Patil, Vedant (60162391200); Bhende, Bhargavi (60162500800); Jadhav, Omkar (60103886500); Shinde, Gitanjali Rahul (57201552548); Moholkar, K. P. (57202970293)","60162391200; 60162500800; 60103886500; 57201552548; 57202970293","Differentiating Between AI-Generated Faces and Human Faces","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020240832&partnerID=40&md5=ad49f8dfb5de766e8c769abd3b46992c","The increasing realism of AI-generated faces, driven by advancements in generative adversarial networks (GANs) like StyleGAN and ProGAN, poses significant challenges in security, identity verification, and digital forensics. Current detection methods, primarily relying on convolutional neural networks (CNNs), struggle to identify subtle artifacts in high-quality synthetic imagery. This paper proposes a hybrid model combining Vision Transformers (ViTs) and XceptionNet in a soft-voting ensemble framework. ViT captures global spatial patterns, while XceptionNet excels in detecting localized texture inconsistencies. The ensemble achieves 92.3% accuracy, 92.5% precision, and an F1-score of 0.922 on a dataset of 188,800 real and AI-generated faces. Extensive experiments demonstrate the model’s robustness against diverse deepfake architectures, including those with minimal artifacts. This approach offers a state-of-the-art solution for differentiating real and AI-generated faces, with significant implications for fraud prevention, content moderation, and digital forensics. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","AI-generated faces; Deep fake; Deep learning; Deepfake detection; Generative adversarial networks (GANs); Vision Transformers (ViTs); XceptionNet"
"Tiwari, R.; Agarwal, H.; Pant, R.; Singh, P.; Yadav, N.K.","Tiwari, Ramakant (60161399900); Agarwal, Himanshu (60161184200); Pant, Raghav (60161444800); Singh, Prabhat (59395934400); Yadav, Nand Kishor (60161271000)","60161399900; 60161184200; 60161444800; 59395934400; 60161271000","Real vs Synthetic Face Detection Using AI And rPPG Technology","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020168314&partnerID=40&md5=73a475aa5eff79feebe596d774730c8a","In recent years, we have seen an exponential increase in the exposure of synthetic face videos on the Internet. This surge poses several serious risks, including threats to the authenticity of digital content and the facilitation of misinformation and identity-related fraud. The currently existing methods to identify these deepfakes are significantly less effective against the newly developed synthetic faces implemented with advanced technologies. Therefore, we introduce this work, which will work flawlessly in identifying synthetic faces and differentiating the content as authentic or fake. Real humans exhibit synchronized biological rhythms. Utilizing this fact, we have trained a model that can extract these rhythms, and their absence can be used for identifying synthetic faces. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","AI-generated Videos; Deepfake detection; Remote Photoplethysmography; Synthetic Face Detection; Synthetic Faces"
"Deng, L.; Wu, B.; Wang, J.","Deng, Liwei (51663261700); Wu, Boda (59654133600); Wang, Jiandong (58168684200)","51663261700; 59654133600; 58168684200","A multi-label classification method combined with texture enhancement for deepfake face detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018575193&partnerID=40&md5=466e5f3cf3079fd8e4442da551f3edc8","As deepfake technology continues to evolve, existing techniques can manipulate specific regions such as facial components, and the small forgery area makes forgery more difficult to detect. Therefore, deepfake detection technology cannot be limited to real and fake face detection methods based on binary classification. To enable fine-grained detection of facial component forgeries, we propose a detection approach leveraging multi-label classification to simultaneously identify deepfake labels across various facial components. We first process the facial components manipulation dataset using a data augmentation method with information deletion to enrich the dataset with more varied samples. The texture feature enhancement module is also used to enhance the forged traces in the shallow features and enhance the network’s capability in identifying manipulation artifacts. We then apply Asymmetric Polynomial Loss (APL) to address the issue of label imbalance within the dataset. Experimental evaluation demonstrates that our method reaches a mAP of 92.08 and a mAUC of 89.23, effectively supporting precise detection of facial forgery traces. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","Deepfake detection; Fine-grained detection; Multi-label classification; Texture feature enhancement"
"Singh, S.; Dhumane, A.","Singh, Sonam (57723967400); Dhumane, Amol V. (57190257788)","57723967400; 57190257788","Unmasking digital deceptions: An integrative review of deepfake detection, multimedia forensics, and cybersecurity challenges","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017848056&partnerID=40&md5=5d76c7be8044417f71f33ae5decc4fd2","Deepfakes, which are driven by developments in generative AI, seriously jeopardize public trust, cybersecurity, and the veracity of information. This study offers a comprehensive analysis of the most recent methods for creating and detecting deepfakes in image, video, and audio modalities. With a focus on their advantages and disadvantages in cross-dataset and real-world scenarios, we compile the latest developments in transformer-based detection models, multimodal biometric defenses, and Generative Adversarial Networks (GANs). We provide implementation-level information such as pseudocode workflows, hyperparameter settings, and preprocessing pipelines for popular detection frameworks to improve reproducibility. We also examine the implications of cybersecurity, including identity theft and biometric spoofing, as well as policy-oriented solutions that incorporate federated learning, explainable AI, and ethical protections. By enriching technical insights with interdisciplinary perspectives, this review charts a roadmap for building robust, scalable, and trustworthy deepfake detection systems. © 2025 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","AI policy frameworks; Cross-dataset evaluation; Cyber security threats; Deepfake detection; Digital deception; Ethical AI; Explainable AI; Face synthesis; Federated learning; Generative adversarial networks (GANs); Identity theft; Multimedia forensics; Speech cloning; Synthetic media, biometric spoofing"
