"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Any-Resolution AI-Generated Image Detection by Spectral Learning","D. Karageorgiou; S. Papadopoulos; I. Kompatsiaris; E. Gavves","Information Technologies Institute, CERTH, Greece; Information Technologies Institute, CERTH, Greece; Information Technologies Institute, CERTH, Greece; University of Amsterdam, The Netherlands",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","18706","18717","Recent works have established that AI models introduce spectral artifacts into generated images and propose approaches for learning to capture them using labeled data. However, the significant differences in such artifacts among different generative models hinder these approaches from generalizing to generators not seen during training. In this work, we build upon the key idea that the spectral distribution of real images constitutes both an invariant and highly discriminative pattern for AI-generated image detection. To model this under a self-supervised setup, we employ masked spectral learning using the pretext task of frequency reconstruction. Since generated images constitute out-of-distribution samples for this model, we propose spectral reconstruction similarity to capture this divergence. Moreover, we introduce spectral context attention, which enables our approach to efficiently capture subtle spectral inconsistencies in images of any resolution. Our spectral AI-generated image detection approach (SPAI) achieves a 5.5% absolute improvement in AUC over the previous state-of-the-art across 13 recent generative approaches, while exhibiting robustness against common online perturbations. Code is available on https://mever-team.github.io/spai.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.01743","Horizon Europe; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11094582","synthetic image detection;ai generated image detection;self supervised learning;image forensics;media forensics;deepfake detection;spectral learning","Training;Image resolution;Generative AI;Perturbation methods;Detectors;Robustness;Generators;Pattern recognition;Noise measurement;Image reconstruction","","2","","79","IEEE","13 Aug 2025","10-17 June 2025","10-17 June 2025","IEEE","IEEE Conferences"
"A Lightweight CNN for Efficient Deepfake Detection of Low-resolution Images in Frequency Domain","S. D; R. S; S. Ravi; V. M; P. M. P. U","School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; CapitalOne, San Francisco, USA",2024 Second International Conference on Emerging Trends in Information Technology and Engineering (ICETITE),"18 Apr 2024","2024","","","1","6","Deepfake detection in frequency domain is extensively explored for two reasons –artifacts generated by the up-sampling layer of Generative Adversarial Networks are more prominent in the frequency domain and some image processing tasks are simpler and efficient in this domain. Traditional convolutional neural networks outperform the machine learning models for their ability to detect deepfakes of low-resolution images also. But these networks involve numerous trainable parameters resulting in huge computation cost, time and high memory requirements. This paper presents a lightweight Convolutional Neural Network (CNN) architecture that is optimized for efficient deepfake detection of low-resolution images in the frequency domain. The proposed model achieves almost the same accuracy as that of the traditional network but with the parameter requirement reduced by 92%. This renders the model suitable for use in memory-constrained and power-constrained environments such as mobile devices and other embedded systems.","","979-8-3503-2820-2","10.1109/ic-ETITE58242.2024.10493406","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10493406","Deepfake detection;frequency domain;pixel domain;lightweight CNN;depthwise separable convolution","Deepfakes;Frequency-domain analysis;Computational modeling;Memory management;Machine learning;Market research;Mobile handsets","","1","","21","IEEE","18 Apr 2024","22-23 Feb. 2024","22-23 Feb. 2024","IEEE","IEEE Conferences"
"WaveDIF: Wavelet Sub-Band based Deepfake Identification in Frequency Domain","A. Dutta; A. K. Das; R. Naskar; R. S. Chakraborty","IIT, Kharagpur; IIEST, Shibpur; IIEST, Shibpur; IIT, Kharagpur",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"15 Sep 2025","2025","","","6302","6311","With the more realistic convergence of Deepfakes, its' identification becomes more demanding. Recently, numerous deepfake detection techniques have been proposed, most of which are in the spatio-temporal domain. While these methods have shown promise, many of them neglect convincing artifacts that exhibit different patterns across frequency domains. This research proposes WaveDIF, a strict frequency domain, lightweight deepfake video detection algorithm using wavelet sub-band energies. In WaveDIF, for feature extraction, each video undergoes a Discrete Fourier Transform to filter out high-frequency noisy details (quite evident in deepfakes). These representations are then decomposed into their respective wavelet sub-bands -LL (Low-Low), LH (Low-High), HL (High-Low), and HH (High-High) passing them through a Haar Filter, following which the energy values (particular to each sub-band) are computed. These energy values are then used to learn a linear decision boundary (using regression analysis), which is then used for classification. This enables an interpretable, lightweight deterministic technique for the detection of synthesized videos, besides achieving an accuracy comparable to the state-of-the-art. Experimental results on popular deepfake video datasets shows over 92% accuracy for in-dataset evaluation, and 88% accuracy for cross dataset evaluation.","2160-7516","979-8-3315-9994-2","10.1109/CVPRW67362.2025.00627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148061","lightweight deepfake detection;frequency domain analysis;wavelet sub-band energies;discrete fourier transform;discrete wavelet transform","Deepfakes;Adaptation models;Accuracy;Wavelet domain;Frequency-domain analysis;Computational modeling;Discrete Fourier transforms;Pipelines;Feature extraction;Regression analysis","","2","","34","IEEE","15 Sep 2025","11-12 June 2025","11-12 June 2025","IEEE","IEEE Conferences"
"Deepfake Detection via Spatial-Frequency Attention Network","S. Guo; M. Gao; G. Zhang; C. Liu; Q. Li","School of Electrical and Electronic Engineering, Shandong Provincial Key Laboratory of New Power Distribution and Utilization Technology and Equipment, Shandong University of Technology, Zibo, China; School of Electrical and Electronic Engineering, Shandong Provincial Key Laboratory of New Power Distribution and Utilization Technology and Equipment, Shandong University of Technology, Zibo, China; School of Electrical and Electronic Engineering, Shandong Provincial Key Laboratory of New Power Distribution and Utilization Technology and Equipment, Shandong University of Technology, Zibo, China; School of Electrical and Electronic Engineering, Shandong Provincial Key Laboratory of New Power Distribution and Utilization Technology and Equipment, Shandong University of Technology, Zibo, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",IEEE Transactions on Consumer Electronics,"","2025","PP","99","1","1","Artificial Intelligence Generated Content (AIGC) makes creating realistic synthetic media a breeze. Facial forgery technologies threaten consumer electronics, such as smartphones, intelligent payment systems, and smart home Internet of Things (IoT) devices. These threats undermine identity authentication security and compromise user privacy. To address this problem, this paper introduces a wavelet-based Spatial and Frequency Domain Attention Network (SFANet) for deepfake detection. The SFANet comprises a wavelet transform-based feature decoupling module, a dual attention module, and a cross-modality fusion module. The spatial features are first decomposed into high-and low-frequency components by wavelet transform. Subsequently, a dual attention mechanism is built to adjust frequency-domain weights dynamically. Finally, a cross-modality fusion module is introduced to integrate spatial and frequency-domain features for enhanced detection. Experimental results on three benchmark datasets, namely FaceForensics++, WildDeepfake, and Celeb-DF V2, prove that SFANet achieves superior detection performance compared to state-of-the-art models. This research provides a powerful tool to combat AI-driven misinformation and advances the field of synthetic content detection in consumer electronics. The implementation of SFANet will be publicly available at https://github.com/siyouguo/SFANet.","1558-4127","","10.1109/TCE.2025.3614720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11182301","Deepfake Detection;Frequency Domain;Wavelet Transform;Attention Mechanism;Cross-Domain Fusion","Deepfakes;Frequency-domain analysis;Wavelet transforms;Feature extraction;Transforms;Consumer electronics;Privacy;Wavelet domain;Convolution;Forgery","","","","","IEEE","26 Sep 2025","","","IEEE","IEEE Early Access Articles"
"Learned Image Compression for Deepfake Detection","A. Gnutti; A. Alkhateeb; C. -H. Kao; E. D. Cannas; S. Mandelli; W. -H. Peng; R. Leonardi; P. Migliorati","Department of Information Engineering, University of Brescia, Italy; Department of Information Engineering, University of Brescia, Italy; Department of Information Engineering, University of Brescia, Italy; Department of Electronics, Information, and Bioengineering, Politecnico di Milano, Italy; Department of Electronics, Information, and Bioengineering, Politecnico di Milano, Italy; Department of Computer Science, National Yang Ming Chiao Tung University, Taiwan; Department of Information Engineering, University of Brescia, Italy; Department of Information Engineering, University of Brescia, Italy",2025 33rd European Signal Processing Conference (EUSIPCO),"17 Nov 2025","2025","","","1377","1381","Learned image compression introduces new challenges for image forensics, as deepfake detectors may mistakenly classify authentic images as artificially generated due to compression artifacts or misidentify synthetic images that have undergone neural compression as real. In this paper, the first neural image compression system specifically designed for deepfake detection is presented. To achieve this, spatial-frequency modulation adapters are integrated into an existing image compression architecture, eliminating the need to retrain the underlying codec. Images decoded with the proposed method achieve detection performance comparable to uncompressed images while also exhibiting superior perceptual quality than images reconstructed from conventional image compression.","","978-9-4645-9362-4","10.23919/EUSIPCO63237.2025.11226598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11226598","Learned image compression;coding for machines;deepfake detection","Deepfakes;Image forensics;Image coding;Codecs;Europe;Detectors;Signal processing;Image reconstruction","","","","22","","17 Nov 2025","8-12 Sept. 2025","8-12 Sept. 2025","IEEE","IEEE Conferences"
"Harmonizing Dynamic Frequency Analysis with Attention Mechanisms for Efficient Facial Image Authenticity Detection","Y. Zhao; J. Li; L. Wang","School of Computer and Information Engineering, Hefei University of Technology, Hefei, China; School of Computer and Information Engineering, Hefei University of Technology, Hefei, China; Anhui Communications Vocational and Technical College, Hefei, China",2023 International Conference on Computer Science and Automation Technology (CSAT),"25 Mar 2024","2023","","","348","352","Deepfake detection is increasingly critical in security and digital forensics. Our research presents a novel method that synergizes dynamic frequency domain analysis with attention mechanisms to discern Deepfakes more effectively. This approach is developed in response to the inadequacies of existing techniques when confronted with sophisticated image alterations. By leveraging frequency domain subtleties and an advanced attention mechanism, our model achieves heightened accuracy in identifying key facial anomalies. Our experimental results show that DFAM could yield 93.94% accuracy rate which is the best compared with state-of-the-arts on Deepfakes dataset.","","979-8-3503-7143-7","10.1109/CSAT61646.2023.00097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10471603","deepfake detection;dynamic frequency domain analysis;attention mechanisms","Computer science;Deepfakes;Automation;Frequency-domain analysis;Digital forensics;Security","","1","","22","IEEE","25 Mar 2024","6-8 Oct. 2023","6-8 Oct. 2023","IEEE","IEEE Conferences"
"Face Swapping Attack Detection Using Multistream Feature Embeddings","G. Kotov; O. Nakov; M. Lazarova; P. Nakov; G. Georgiev","Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria",2025 13th International Scientific Conference on Computer Science (COMSCI),"13 Nov 2025","2025","","","1","6","The paper presents a novel multi-stream feature embedding approach to detect face swapping attacks and distinguish them from fully AI-generated face images. The suggested multi-stream feature embedding architecture combines global features from Vision Transformers, local artifacts from convolutional neural networks, and frequency-domain analysis. Thus the model captures complementary forensic cues often missed by single-stream approaches. The processing pipeline employs image preprocessing and face alignment stage to standardize the input data as required by the tree different streams utilized in the suggested architecture. Attention-based modular fusion is applied for the feature embeddings extracted from each stream to generate unified representation with dynamic weighting thus improving both robustness and interpretability of the model as it selectively relies on the most informative stream based on the input's generative characteristics. Based on the suggested approach a classification model is trained for three classes: real, face-swapped, AI-generated images using diverse mix of images from both curated and real-world datasets. The experimental results demonstrate strong performance of the model that effectively detects AI-generated faces using global and spectral anomalies, while identifying face swaps through localized inconsistencies.","","979-8-3315-9814-3","10.1109/COMSCI67172.2025.11225271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11225271","deepfake detection;AI-generated faces;face swapping;multi-stream;feature embeddings","Trees (botanical);Frequency-domain analysis;Forensics;Pipelines;Computer architecture;Feature extraction;Transformers;Robustness;Image preprocessing;Faces","","","","33","IEEE","13 Nov 2025","13-15 Sept. 2025","13-15 Sept. 2025","IEEE","IEEE Conferences"
"Fourier-Based GAN Fingerprint Detection Using ResNet50","S. T. Erukude; V. C. Marella; S. R. Veluru","Department of Computer Science, Kansas State University, Manhattan, USA; College of Business Administration, Kansas State University, Manhattan, USA; College of Business Administration, Kansas State University, Manhattan, USA",2025 9th International Conference on Inventive Systems and Control (ICISC),"13 Oct 2025","2025","","","971","976","The rapid rise of photorealistic images produced from Generative Adversarial Networks (GANs) poses a serious challenge for image forensics and industrial systems requiring reliable content authenticity. This paper uses frequency-domain analysis combined with deep learning to solve the problem of distinguishing StyleGAN-generated images from real ones. Specifically, a two-dimensional Discrete Fourier Transform (2D DFT) was applied to transform images into the Fourier domain, where subtle periodic artifacts become detectable. A ResNet50 neural network is trained on these transformed images to differentiate between real and synthetic ones. The experiments demonstrate that the frequency-domain model achieves a 92.8 percent and an AUC of 0.95, significantly outperforming the equivalent model trained on raw spatial-domain images. These results indicate that the GAN-generated images have unique frequency-domain signatures or “fingerprints”. The method proposed highlights the industrial potential of combining signal processing techniques and deep learning to enhance digital forensics and strengthen the trustworthiness of industrial AI systems.","","979-8-3315-1247-7","10.1109/ICISC65841.2025.11187724","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11187724","Deepfake Detection;Frequency-Domain Analysis;Image Forensics;StyleGAN Fingerprints;Trustworthy AI Systems","Deep learning;Image forensics;Deepfakes;Adaptation models;Frequency-domain analysis;Discrete Fourier transforms;Fingerprint recognition;Generative adversarial networks;Artificial intelligence;Residual neural networks","","","","15","IEEE","13 Oct 2025","12-13 Aug. 2025","12-13 Aug. 2025","IEEE","IEEE Conferences"
"MDCF-Net: Multi-Scale Dual-Branch Network for Compressed Face Forgery Detection","J. Zhou; X. Zhao; Q. Xu; P. Zhang; Z. Zhou","Shanghai Film Academy, Shanghai University, Shanghai, China; Shanghai Film Academy, Shanghai University, Shanghai, China; Shanghai Film Academy, Shanghai University, Shanghai, China; Shanghai Film Academy, Shanghai University, Shanghai, China; Shanghai Film Academy, Shanghai University, Shanghai, China",IEEE Access,"30 Apr 2024","2024","12","","58740","58749","Face forgery detection aims to identify manipulated or altered facial images or videos created using artificial intelligence. Existing detection methods exhibit favorable performance on high-quality videos, but the videos in daily applications are commonly compressed into low-quality formats via social media. The detection difficulty is increased by the poor quality, indistinct detail features, and noises such as artifacts in these images or videos. To address this challenge, we propose a multi-scale dual-branch network for compressed face forgery, called MDCF-Net, effectively capturing cross-domain forgery features at various scales in compressed facial images. The MDCF-Net comprises two branches: an RGB domain branch utilizing Transformers to extract multi-scale fine-texture features from the original RGB images; a frequency domain branch designed to capture artifacts in low-quality videos by extracting global spectral features as a supplementary measure. Then, we introduce a feature fusion module (FFM) based on multi-head attention to merge diverse feature representations in a spatial-frequency complementary manner. Extensive comparative experiments on public datasets such as FaceForensics++, Celeb-DF, and WildDeepfake demonstrate the significant advantage of MDCF-Net in detecting highly compressed and low-quality forged images or videos, especially in achieving state-of-the-art performance on the FaceForensics++ low-quality dataset. Our approach presents a new perspective and technology for low-quality face forgery detection.","2169-3536","","10.1109/ACCESS.2024.3390217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10504285","Face forgery;deepfake detection;transformers;frequency domain;two-branch;feature fusion","Feature extraction;Frequency-domain analysis;Face recognition;Forgery;Transformers;Deepfakes;Image coding","","8","","44","CCBYNCND","17 Apr 2024","2024","","IEEE","IEEE Journals"
"Multi-Cue Fusion for Forgery Detection: a Spatial-Frequency and Chromatic Approach","Z. Yang; R. Tao; C. Zhang; X. Zheng","Institute of Information Science, Beijing Jiaotong University, Beijing, China; Institute of Information Science, Beijing Jiaotong University, Beijing, China; Institute of Information Science, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences",2025 IEEE International Conference on Intelligence and Security Informatics (ISI),"21 Oct 2025","2025","","","89","94","With the rapid development of Deepfake technology, the fake content it generates poses a serious threat to information credibility and personal privacy. Existing detection methods are often limited to single-domain feature analysis. Spatial domain methods focus on texture and structural features, but often ignore frequency domain forgery traces. Although frequency domain methods can extract frequency information, they often lose the integrity of spatial details and chromatic features. To address these challenges, this paper proposes a novel dual-branch detection framework that integrates multimodal feature analysis in spatial, frequency and chromatic domains, effectively utilizes multiple forgery cues, and demonstrates good robustness and generalization for Deepfake detection. Specifically, we extract appropriate frequency domain forgery cues and spatial texture features from grayscale images through discrete cosine transform (DCT) and multiband adaptive filters to capture diverse frequency patterns. At the same time, we separate phase features and chromatic texture cues from the chromaticity channels of the YCbCr color space through a phase extraction module to reconstruct finegrained chromaticity representation. In addition, distribution consistency loss and weight prediction modules are proposed to optimize the statistical properties and discriminant consistency of grayscale and chromaticity features. Extensive experiments on benchmark deepfake detection datasets demonstrate the effectiveness of our approach, showing good adaptability to complex forgery scenarios.","2837-6617","979-8-3315-1276-7","10.1109/ISI65680.2025.11201145","Beijing Natural Science Foundation(grant numbers:L242021); National Natural Science Foundation of China(grant numbers:62476021,72225011,72434005,62072026); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11201145","Deepfake Detection;Multi-Domain Analysis;Frequency Transform;Phase Decomposition","Deepfakes;Visualization;Frequency-domain analysis;Transforms;Gray-scale;Feature extraction;Forgery;Robustness;Discrete cosine transforms;Security","","","","19","IEEE","21 Oct 2025","12-13 July 2025","12-13 July 2025","IEEE","IEEE Conferences"
