Title,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect
"A Comprehensive Comparative Analysis of Deepfake Detection Techniques in Visual, Audio, and Audio-Visual Domains",IEEE Xplore,0,1,0
A Comprehensive Review on File Containers-Based Image and Video Forensics,ScienceDirect,0,0,1
A Computer Vision Model to Identify Deepfakes to Combat Misinformation During Political Events,IEEE Xplore,0,1,0
A Contemporary and Comprehensive Bibliometric Exposition on Deepfake Research and Trends,ScienceDirect,0,0,1
A Dual-Branch CNN for Robust Detection of AI-Generated Facial Forgeries,IEEE Xplore,0,1,0
A Dual-Stream CNN-LSTM Framework with ELA Preprocessing for Deepfake Detection,IEEE Xplore,0,1,0
A GAN-Based Model of Deepfake Detection in Social Media,ScienceDirect,0,0,1
A Lightweight CNN for Efficient Deepfake Detection of Low-resolution Images in Frequency Domain,"IEEE Xplore, Scopus",1,1,0
A Novel Multi-Scale Spectral-Guided Graph Attention Network for DeepFake Video Detection,IEEE Xplore,0,1,0
A Novel Unified Approach to Deepfake Detection of Images,"IEEE Xplore, Scopus",1,1,0
A Preliminary Case Study on Long-Form In-the-Wild Audio Spoofing Detection,IEEE Xplore,0,1,0
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",IEEE Xplore,0,1,0
A Robust Audio Deepfake Detection System via Multi-View Feature,IEEE Xplore,0,1,0
A Robust and Lightweight CNN-Transformer Model for Audio Deepfake Detection in Indian Languages,IEEE Xplore,0,1,0
A dual descriptor combined with frequency domain reconstruction learning for face forgery detection in deepfake videos,Scopus,1,0,0
A facial geometry based detection model for face manipulation using CNN-LSTM architecture,Scopus,1,0,0
A method for detecting deepfake faces by integrating multi-scale deep-shallow spatial and frequency features,Scopus,1,0,0
A survey of machine learning techniques in adversarial image forensics,ScienceDirect,0,0,1
ADD 2022: the first Audio Deep Synthesis Detection Challenge,IEEE Xplore,0,1,0
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,IEEE Xplore,0,1,0
AI Model for Deepfake Detection – A Hybrid Deep Learning and Statistical Approach for GANGenerated Visuals,IEEE Xplore,0,1,0
AI-Based Image Forgery Detection (AI-IFD),IEEE Xplore,0,1,0
AI-Powered Deepfake Detection in Biometric Systems,IEEE Xplore,0,1,0
AIM-Bone: Texture Discrepancy Generation and Localization for Generalized Deepfake Detection,IEEE Xplore,0,1,0
AVSecure: An Audio-Visual Watermarking Framework for Proactive Deepfake Detection,IEEE Xplore,0,1,0
AdvShadow: Evading DeepFake Detection via Adversarial Shadow Attack,IEEE Xplore,0,1,0
Advanced Machine Learning techniques for fake news (online disinformation) detection: A systematic mapping study,ScienceDirect,0,0,1
Advances in DeepFake detection algorithms: Exploring fusion techniques in single and multi-modal approach,ScienceDirect,0,0,1
Adversarial Attacks on Deepfake Detectors: A Challenge in the Era of AI-Generated Media (AADD-2025),Scopus,1,0,0
Anomaly Detection and Localization for Speech Deepfakes via Feature Pyramid Matching,IEEE Xplore,0,1,0
Any-Resolution AI-Generated Image Detection by Spectral Learning,IEEE Xplore,0,1,0
Attention Guided Multi-attribute Architecture For Deepfake Detection,IEEE Xplore,0,1,0
Audio Deepfake Detection: End-to-End training with powerful pretrained ASR,IEEE Xplore,0,1,0
Benchmarking Audio Deepfake Detection Robustness in Real-World Communication Scenarios,IEEE Xplore,0,1,0
Beyond Accuracy: Explainable Multimodal Deepfake Detection Through Cross-Modal Feature Analysis and Dynamic Attention Weighting,IEEE Xplore,0,1,0
Beyond Deepfake Images: Detecting AI-Generated Videos,IEEE Xplore,0,1,0
BiFAT: Bilateral Filtering and Attention Mechanisms in a Two-Stream Model for Deepfake Detection,Scopus,1,0,0
Blockwise Spectral Analysis for Deepfake Detection in High-fidelity Videos,IEEE Xplore,0,1,0
Boosting Deepfake Detection Generalizability via Expansive Learning and Confidence Judgement,IEEE Xplore,0,1,0
CAL-Net: a continual adaptive learning network for deepfake detection using multi-track fusion and domain adaptation,Scopus,1,0,0
CIPHER: Counterfeit Image Pattern High-level Examination via Representation for GAN and Diffusion Discriminator Learning,IEEE Xplore,0,1,0
CNN and Transformer-coordinated deepfake detection; CNN 结合 Transformer 的深度伪造高效检测,Scopus,1,0,0
Chapter 5 - Low-level feature extraction (including edge detection)∗,ScienceDirect,0,0,1
Chapter 8 - Manipulating faces for identity theft via morphing and deepfake: Digital privacy,ScienceDirect,0,0,1
Cognitive Inspired Generalization Boosting for Face Forgery Detection,IEEE Xplore,0,1,0
Complex-valued neural networks for voice anti-spoofing,Scopus,1,0,0
Compressed Deepfake Detection using Spatio-Temporal Approach with Model Pruning,ScienceDirect,0,0,1
Constructing New Backbone Networks via Space-Frequency Interactive Convolution for Deepfake Detection,IEEE Xplore,0,1,0
Context-Aware Deepfake Detection for Securing AI-Driven Financial Transactions,"IEEE Xplore, Scopus",1,1,0
Cross-Domain Deepfake Detection Based on Latent Domain Knowledge Distillation,IEEE Xplore,0,1,0
Customized Transformer Adapter With Frequency Masking for Deepfake Detection,"IEEE Xplore, Scopus",1,1,0
D3: Scaling Up Deepfake Detection by Learning from Discrepancy,IEEE Xplore,0,1,0
DDEM: Deepfake Detection Enhanced Model for Image Forgery Detection Combat Academic Misconduct,IEEE Xplore,0,1,0
DDL: Effective and Comprehensible Interpretation Framework for Diverse Deepfake Detectors,IEEE Xplore,0,1,0
DIP: Diffusion Learning of Inconsistency Pattern for General DeepFake Detection,IEEE Xplore,0,1,0
"Datasets, clues and state-of-the-arts for multimedia forensics: An extensive review",ScienceDirect,0,0,1
Decoding fake news fabrications and trends: A comprehensive survey,ScienceDirect,0,0,1
DeePhyNet: Toward Detecting Phylogeny in Deepfakes,IEEE Xplore,0,1,0
Deep learning for deepfakes creation and detection: A survey,ScienceDirect,0,0,1
DeepFake detection method based on multi-scale interactive dual-stream network,Scopus,1,0,0
DeepFake video detection: Insights into model generalisation — A Systematic review,ScienceDirect,0,0,1
"Deepfake Audio Detection: a Multi Model, Multi Dataset Performance Study Using Deep Learning Architectures",IEEE Xplore,0,1,0
Deepfake Detection Based on LSTM Networks with Facial Geometric Features,IEEE Xplore,0,1,0
Deepfake Detection Based on Multi-scale RGB-Frequency Feature Fusion,"IEEE Xplore, Scopus",1,1,0
Deepfake Detection Based on the Adaptive Fusion of Spatial-Frequency Features,Scopus,1,0,0
Deepfake Detection Fighting Against Noisy Label Attack,IEEE Xplore,0,1,0
Deepfake Detection Model Combining Texture Differences and Frequency Domain Information,Scopus,1,0,0
Deepfake Detection Using Graph Representation with Multi-dimensional Features,IEEE Xplore,0,1,0
Deepfake Detection and Cybersecurity Index: The Role of Computer Vision as a Digital Forensic Tool,IEEE Xplore,0,1,0
Deepfake Detection and Localization Using Multi-View Inconsistency Measurement,IEEE Xplore,0,1,0
Deepfake Detection using Multi-Stream Convolutional Neural Networks with Attention-based Fusion,IEEE Xplore,0,1,0
Deepfake Detection using XAI based Deep Fusion Models,IEEE Xplore,0,1,0
