source,title,authors,year,doi,url
IEEE Xplore,Preserving the Veracity of Digital Media using Neural Network Based Detection of Deepfake Videos,P. Bire; O. Ambalkar; R. Bagade; P. Mehta; A. Yenkikar,2024,10.1109/ICBDS61829.2024.10837046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837046
IEEE Xplore,DDEM: Deepfake Detection Enhanced Model for Image Forgery Detection Combat Academic Misconduct,J. Ding; J. Liu; J. Shi; X. Hu; X. Qiao; H. E,2024,10.1109/BESC64747.2024.10780724,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780724
IEEE Xplore,Implementation of Robust Deepfake Detection via 3D Residual Attention Densenet with Pyramid Dilation Network,T. Rajesh; S. Maruthuperumal,2025,10.1109/ICSCSA66339.2025.11171276,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171276
IEEE Xplore,Deepfake Detection using Multi-Stream Convolutional Neural Networks with Attention-based Fusion,M. Sankaran; M. Alwbaidy; L. K. R; S. D. Govardhan; P. P. Selvam,2025,10.1109/ICICNCT66124.2025.11232837,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232837
IEEE Xplore,Voices of Deception - Detecting AI-Synthesized Speech Using Spectrotemporal Features and Hybrid Learning Models,K. Vaghchhipawala; P. Nadkarni; A. Pai; A. Trivedi; S. Bollavarapu,2025,10.1109/INDISCON66021.2025.11252158,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11252158
IEEE Xplore,Identifying Machine Generated Tweets: Deepfake Detection on Social Media,N. F. Shrene Shifna; K. Baalaji; P. Niharika; P. Swathi; P. R. Krishna; R. Leena,2024,10.1109/DELCON64804.2024.10866921,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10866921
IEEE Xplore,AI-Manipulated Reality: Generation and Detection of Deepfake Content,B. A. Csanky; S. A. Laczi; V. Póser,2025,10.1109/SACI66288.2025.11030130,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030130
IEEE Xplore,Hybrid Federated Deepfake Detection via Residual-Aware Temporal Modeling and Privacy-Preserving Learning,A. Bhatnagar; R. C. Pandey; V. Vishal; A. Singh,2025,10.1109/ACROSET66531.2025.11280626,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280626
IEEE Xplore,Improving DeepFake Video Detection Performance with a Noval Deep Learning Approach,M. A. Fouda; W. El-Shafai; E. -S. M. El-Rabaie,2023,10.1109/ICEEM58740.2023.10319524,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10319524
IEEE Xplore,AI/ML-Based Solution for Detecting Face-Swap Deepfakes,S. S. Patil; A. M; P. M; P. P. C,2025,10.1109/ICETI4T63625.2025.11132146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132146
IEEE Xplore,Emerging Innovations in Deep Learning for Video DeepFake Detection: A Comprehensive Review,M. K. Makwana; D. K. Singh; S. Shukla,2025,10.1109/ICSADL65848.2025.10933018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933018
IEEE Xplore,DeepShield: AI-Powered Deepfake Detection,S. Sharma; K. Gupta,2025,10.1109/CONIT65521.2025.11167853,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167853
IEEE Xplore,Deepfake Detection Using Advanced Learning Frameworks and Benchmark Evaluation,M. B; J. N; N. P; T. J; T. Mohapatra,2025,10.1109/ICCCNP63914.2025.11233705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233705
IEEE Xplore,Deepfake Detection Using EfficientNet and XceptionNet,B. Yasser; J. Hani; S. El-Gayar; O. Amgad; N. Ahmed; H. M. Ebied; H. Amr; M. Salah,2023,10.1109/ICICIS58388.2023.10391114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10391114
IEEE Xplore,Deepfake Detection for Enhanced Security in Workplace Environments Using Deep Learning Techniques,M. Asaduzzaman; M. M. Hassan; T. Bhuiyan,2025,10.1109/ICICT64582.2025.00033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058521
IEEE Xplore,A Comprehensive Review of Deepfake Detection In Advanced Neural Network Architectures and Deep Learning Strategies,D. Singh; P. Singh; R. Bhandari,2024,10.1109/GlobalAISummit62156.2024.10947978,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10947978
IEEE Xplore,Scene and Texture Based Feature Set for DeepFake Video Detection,A. N. Ramkissoon; V. Rajamanickam; W. Goodridge,2022,10.1109/ICDMW58026.2022.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10029383
IEEE Xplore,Comparative Analyais of CNN Architectures for Deep Fake Detection,P. Wani; S. Chavan; S. Paithankar; D. Ghusse; S. Barve,2025,10.1109/ISACC65211.2025.10969171,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10969171
IEEE Xplore,Decoding Voice Authenticity: An Exploration of Deep Learning and Audio Feature Techniques,S. T. Yalla; M. G. P. Raju; D. Nagaraju; M. F. Ali,2025,10.1109/IDCIOT64235.2025.10914906,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10914906
IEEE Xplore,Deepfake Content Detection using Deep Learning Techniques,H. Devarajan; I. S. V. Palli; A. Ahammed; H. R. Kolagatla,2025,10.1109/ICSSAS66150.2025.11081378,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081378
IEEE Xplore,A Computer Vision Model to Identify Deepfakes to Combat Misinformation During Political Events,A. Narayan; S. Fox,2024,10.1109/UPCON62832.2024.10983603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10983603
IEEE Xplore,Preventing DeepFake Attacks on Speaker Authentication by Dynamic Lip Movement Analysis,C. -Z. Yang; J. Ma; S. Wang; A. W. -C. Liew,2021,10.1109/TIFS.2020.3045937,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9298826
IEEE Xplore,Interactive Two-Stream Network Across Modalities for Deepfake Detection,J. Wu; B. Zhang; Z. Li; G. Pang; Z. Teng; J. Fan,2023,10.1109/TCSVT.2023.3269841,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10107603
IEEE Xplore,Deepfake Video Detection Methods using Deep Neural Networks,M. Kshirsagar; S. Suratkar; F. Kazi,2022,10.1109/ICICICT54557.2022.9917701,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917701
IEEE Xplore,Temporal surface frame anomalies for deepfake video detection,A. Ciamarra; R. Caldelli; A. D. Bimbo,2024,10.1109/CVPRW63382.2024.00388,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678101
IEEE Xplore,Deepfake Detection on Videos Based on Ratio Images,R. L. Testa; A. Machado-Lima; F. L. S. Nunes,2022,10.1109/IIAIAAI55812.2022.00086,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894567
IEEE Xplore,Deepfake Video Detection Using Spatiotemporal Convolutional Network and Photo Response Non Uniformity,S. J. Pipin; R. Purba; M. F. Pasha,2022,10.1109/ICOSNIKOM56551.2022.10034890,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034890
IEEE Xplore,Deepfake Detection using GAN Discriminators,S. A. Aduwala; M. Arigala; S. Desai; H. J. Quan; M. Eirinaki,2021,10.1109/BigDataService52369.2021.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564096
IEEE Xplore,Leveraging Acoustic Features and Deep Neural Architectures for Audio Deepfake Detection,V. Sundaram; B. S; S. Vekkot,2024,10.1109/ICACC63692.2024.10845392,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10845392
IEEE Xplore,Improving Generalization of Deepfake Detection With Data Farming and Few-Shot Learning,P. Korshunov; S. Marcel,2022,10.1109/TBIOM.2022.3143404,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684526
IEEE Xplore,DeepFake Image Detection Using Adaptive Discriminator Augmentation (ADA),D. A. Talib; A. A. Abed,2023,10.1109/ICONNIC59854.2023.10467610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467610
