"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Assessing the Performance of Efficient Face Anti-Spoofing Detection Against Physical and Digital Presentation Attacks","L. S. Luevano; Y. Martínez-Díaz; H. Méndez-Vázquez; M. González-Mendoza; D. Frey","Inria, CNRS, IRISA, Univ Rennes, Rennes, France; Advanced Technologies Application Center (CENATAV), Havana, Cuba; Advanced Technologies Application Center (CENATAV), Havana, Cuba; School of Engineering and Sciences, Tecnologico de Monterrey, N.L., Mexico; Inria, CNRS, IRISA, Univ Rennes, Rennes, France",2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"27 Sep 2024","2024","","","1021","1028","In this paper, we examine how pre-processing and training methods impact on the performance of Lightweight CNNs through evaluations on MobileNetV3 with a spoofing detection head, dubbed ""MobileNetV3-Spoof"". Using the UniAttackData dataset from the 5th Face Anti-Spoofing Challenge@CVPR2024, which covers a broad spectrum of spoofing scenarios including deepfake and adversarial attack samples, we assess how well the model performs over different setups, including pre-trained models and models trained from scratch with or without initial face detection and alignment. Our results show that pre-processing steps significantly boost the model’s ability to identify spoof samples, especially against complex attacks. Through detailed comparisons, we offer insights that could guide data curation and the creation of more effective and efficient anti-spoofing techniques suitable for real-world use in the era of digital face attacks. We make our code publicly available at: https://github.com/Inria-CENATAV-Tec/Assessing-Efficient-FAS-CVPR2024","2160-7516","979-8-3503-6547-4","10.1109/CVPRW63382.2024.00108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678145","Efficient Face Anti-Spoofing;Lightweight Face Anti-Spoofing;Digital Face Anti-Spoofing;Face Anti-Spoofing;Lightweight CNNs;Face Spoofing Deepfake Detection","Training;Deepfakes;Accuracy;Sensitivity;Face recognition;Computational modeling;Conferences","","1","","33","IEEE","27 Sep 2024","17-18 June 2024","17-18 June 2024","IEEE","IEEE Conferences"
"Towards Unified Face Verification Against Quality Variations and Deepfake","F. -Z. Ou; H. Guo; S. Kwong","Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; School of Data Science, Lingnan University, Hong Kong, SAR, China",2025 International Symposium on Machine Learning and Media Computing (MLMC),"10 Oct 2025","2025","","","1","6","Face verification aims to provide reliable biological verification results for applications in areas such as security biometric identification, judicial analysis, and digital identity platforms. However, low-quality and malicious deepfake samples caused by complex collection environments may lead to erroneous outcomes in face verification. This paper introduces a unified system for reliable face verification designed to counteract deepfakebased identity spoofing while ensuring input quality reliability. The system processes an input pair of face images or videos through a multi-module pipeline. Specifically, a face detection module crops and aligns firstly the facial regions of input sample pairs. Then, in order to measure and reject low-quality samples, we design a dual metric-driven quality assessment module via class-centric deviation and embedding uncertainty fusion. Sequentially, the deepfake detection module will filter out the input of illegally synthetic face-swapping samples for anti-spoofing. For genuine samples, a quality-aware verification module trained by self-distillation is proposed for the final face verification. Herein, during the training process, low-quality samples are guided by high-quality samples to converge toward class centroids by minimizing the Wasserstein distance between their feature distributions, thereby enhancing model accuracy without increasing spatial complexity. Extensive experiments verify the reliability of our system.","","979-8-3315-2259-9","10.1109/MLMC65154.2025.11189881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189881","Face detection and alignment;face quality assessment;deepfake detection;and face verification","Training;Deepfakes;Uncertainty;Pipelines;Reliability engineering;Biometric identification;Quality assessment;Face detection;Security;Faces","","","","40","IEEE","10 Oct 2025","28-30 July 2025","28-30 July 2025","IEEE","IEEE Conferences"
"DeepFake Detection with 3D Face Perception","Z. Zheng; G. Qi; Y. Cao; M. Wei; Y. Li","Shiji College, Beijing University of Posts and Telecommunications, Beijing, China; Shiji College, Beijing University of Posts and Telecommunications, Beijing, China; Shiji College, Beijing University of Posts and Telecommunications, Beijing, China; Shiji College, Beijing University of Posts and Telecommunications, Beijing, China; Shiji College, Beijing University of Posts and Telecommunications, Beijing, China",2024 6th International Conference on Frontier Technologies of Information and Computer (ICFTIC),"13 Mar 2025","2024","","","112","115","With the development of deep learning technology, the emergence of DeepFake technology makes fake video and image become more real, it brought many safe hidden trouble to the society. In this paper, we propose a DeepFake detection method based on 3D face perception, which aims to effectively identify fake face images. By generating and detecting facial features, we use a binary classifier to discriminate the generated weights. In addition, combining Generative adversarial Network (GAN) and Convolutional Neural Network (CNN) technology, we designed a feature detection and extraction mechanism to improve the accuracy and robustness of detection. The experimental results show that the proposed method has significant performance advantages in DeepFake detection task.","","979-8-3315-4175-0","10.1109/ICFTIC64248.2024.10913253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10913253","DeepFake detection task;3D face perception;facial features","Deepfakes;Technological innovation;Three-dimensional displays;Accuracy;Face recognition;Streaming media;Generative adversarial networks;Feature extraction;Robustness;Convolutional neural networks","","","","11","IEEE","13 Mar 2025","13-15 Dec. 2024","13-15 Dec. 2024","IEEE","IEEE Conferences"
"Learnable Information-Preserving Image Resizer for Face Forgery Detection","H. She; Y. Hu; B. Liu; J. Li; C. -T. Li","School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Information Technology, Deakin University, Geelong, VIC, Australia",IEEE Signal Processing Letters,"15 Nov 2023","2023","30","","1657","1661","Resizing input face images of arbitrary sizes to a uniform size is an essential preprocessing to satisfy the architectural requirements of face forgery detectors. In this letter, we reveal an important observation that traditional resizing methods degrade the performance of face forgery detectors due to the loss of high-frequency information. To address this issue, we propose a simple yet effective learnable information-preserving resizer to replace its lossy traditional counterparts. Specifically, we use Haar transform to separate low- and high-frequency components, and then perform learnable resizing on the high-frequency sub-bands. We conduct experiments to compare our learnable resizer with other methods and evaluate three existing detectors with and without incorporating our resizer. Experimental results show that our resizer outperforms other resizers and consistently enhances the detection performance of tested detectors, confirming the effectiveness of our proposed resizer.","1558-2361","","10.1109/LSP.2023.3330316","Science and Technology Foundation of Guangzhou Huangpu Development District(grant numbers:2022GH15); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309221","Face forgery detection;deepfake detection;information-preserving resizer;learnable resizer","Forgery;Faces;Detectors;Face recognition;Interpolation;Transforms;Task analysis","","2","","28","IEEE","6 Nov 2023","2023","","IEEE","IEEE Journals"
"3D Attention Network for Face Forgery Detection","Z. Ma; X. Mei; J. Shen","College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China",2023 4th Information Communication Technologies Conference (ICTC),"23 Jun 2023","2023","","","396","401","With the rapid development of face forgery techniques, a large number of face synthesis videos are widely spread on the Internet, which threatens the security and trustworthiness of digital content online. It is necessary to develop face forgery detection methods. Many existing methods use only 2D CNNs to detect video frames. There are few 3D networks designed for face forgery detection. In this work, we propose to use 3D CNN for video-level face forgery detection and add a lightweight attention module to construct a 3D attention network. The network extracts both spatial and temporal features. The attention maps generated by the attention module focus on several forged regions of the fake face. To avoid the discrepancy of different regions affecting the detection results, a global attention pool is designed to replace the global average pool. The experiments implemented on FaceForensics++ show that our model achieves great accuracy and exceeds most existing methods. Cross-dataset evaluation implemented on Celeb-DF verifies that our model has strong transferability and generalization ability.","","978-1-6654-6258-7","10.1109/ICTC57116.2023.10154671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154671","Face forgery detection;DeepFake detection;Face forgery;Digital video forensics;3D convolutional neural network","Solid modeling;Three-dimensional displays;Feature extraction;Forgery;Internet;Security;Data mining","","5","","40","IEEE","23 Jun 2023","17-19 May 2023","17-19 May 2023","IEEE","IEEE Conferences"
"Face Swapping Attack Detection Using Multistream Feature Embeddings","G. Kotov; O. Nakov; M. Lazarova; P. Nakov; G. Georgiev","Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria",2025 13th International Scientific Conference on Computer Science (COMSCI),"13 Nov 2025","2025","","","1","6","The paper presents a novel multi-stream feature embedding approach to detect face swapping attacks and distinguish them from fully AI-generated face images. The suggested multi-stream feature embedding architecture combines global features from Vision Transformers, local artifacts from convolutional neural networks, and frequency-domain analysis. Thus the model captures complementary forensic cues often missed by single-stream approaches. The processing pipeline employs image preprocessing and face alignment stage to standardize the input data as required by the tree different streams utilized in the suggested architecture. Attention-based modular fusion is applied for the feature embeddings extracted from each stream to generate unified representation with dynamic weighting thus improving both robustness and interpretability of the model as it selectively relies on the most informative stream based on the input's generative characteristics. Based on the suggested approach a classification model is trained for three classes: real, face-swapped, AI-generated images using diverse mix of images from both curated and real-world datasets. The experimental results demonstrate strong performance of the model that effectively detects AI-generated faces using global and spectral anomalies, while identifying face swaps through localized inconsistencies.","","979-8-3315-9814-3","10.1109/COMSCI67172.2025.11225271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11225271","deepfake detection;AI-generated faces;face swapping;multi-stream;feature embeddings","Trees (botanical);Frequency-domain analysis;Forensics;Pipelines;Computer architecture;Feature extraction;Transformers;Robustness;Image preprocessing;Faces","","","","33","IEEE","13 Nov 2025","13-15 Sept. 2025","13-15 Sept. 2025","IEEE","IEEE Conferences"
"3DDGD: 3D Deepfake Generation and Detection Using 3D Face Meshes","H. Felouat; H. H. Nguyen; J. Yamagishi; I. Echizen","Informatics Program, The Graduate University for Advanced Studies, SOKENDAI, Hayama, Kanagawa, Japan; Informatics Program, The Graduate University for Advanced Studies, SOKENDAI, Hayama, Kanagawa, Japan; Informatics Program, The Graduate University for Advanced Studies, SOKENDAI, Hayama, Kanagawa, Japan; Informatics Program, The Graduate University for Advanced Studies, SOKENDAI, Hayama, Kanagawa, Japan",IEEE Access,"26 Jun 2025","2025","13","","107429","107441","3D face technology is revolutionizing various fields by providing superior security and realism compared with 2D methods. In biometric authentication, 3D facial features serve as unique, hard-to-forge identifiers, improving accuracy in facial recognition for border control and criminal identification. Additionally, 3D avatars enhance virtual interactions. In this study, we aimed to strengthen 3D facial biometric systems against deepfakes. Key contributions include proving the superior protection of 3D faces over 2D ones, creating a dataset of real and fake 3D faces, and developing advanced models for accurate 3D deepfake detection. We evaluated our models for generalization to other datasets and stability when changing training data. Our experiments used the mesh multi-layer perceptron model for deepfake detection along with self-attention mechanisms and the newly introduced TabTransformer model. Results indicate that 3D face meshes greatly improve security by distinguishing real faces from deepfakes. Future work will focus on enhancing detection tools and integrating geometric features with facial textures for more accurate 3D deepfake detection. The dataset and models are publicly available on GitHub, excluding licensed elements: https://github.com/hichemfelouat/3DDGD","2169-3536","","10.1109/ACCESS.2025.3580950","Japan Society for the Promotion of Science (JSPS) under KAKENHI(grant numbers:JP21H04907,JP24H00732); Japan Science and Technology Agency (JST) under CREST(grant numbers:JPMJCR18A6,JPMJCR20D3); AIP Challenge Program; by JST AIP Acceleration(grant numbers:JPMJCR24U3); JST K Program(grant numbers:JPMJKP24C2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11039631","3D deepfake detection;3D deepfake generation;3D face reconstruction;3D biometric systems","Three-dimensional displays;Face recognition;Deepfakes;Solid modeling;Shape;Image reconstruction;Faces;Point cloud compression;Accuracy;Feature extraction","","","","64","CCBY","18 Jun 2025","2025","","IEEE","IEEE Journals"
"FSFM: A Generalizable Face Security Foundation Model via Self-Supervised Facial Representation Learning","G. Wang; F. Lin; T. Wu; Z. Liu; Z. Ba; K. Ren","State Key Laboratory of Blockchain and Data Security, Zhejiang University; State Key Laboratory of Blockchain and Data Security, Zhejiang University; State Key Laboratory of Blockchain and Data Security, Zhejiang University; State Key Laboratory of Blockchain and Data Security, Zhejiang University; State Key Laboratory of Blockchain and Data Security, Zhejiang University; State Key Laboratory of Blockchain and Data Security, Zhejiang University",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","24364","24376","This work asks: with abundant, unlabeled real faces, how to learn a robust and transferable facial representation that boosts various face security tasks with respect to generalization performance? We make the first attempt and propose a self-supervised pretraining framework to learn fundamental representations of real face images, FSFM, that leverages the synergy between masked image modeling (MIM) and instance discrimination (ID). We explore various facial masking strategies for MIM and present a simple yet powerful CRFR-P masking, which explicitly forces the model to capture meaningful intra-region Consistency and challenging inter-region Coherency. Furthermore, we devise an ID network that naturally couples with MIM to establish underlying local-to-global Correspondence through tailored self-distillation. These three learning objectives, namely 3C, empower encoding both local features and global semantics of real faces. After pretraining, a vanilla ViT serves as a universal vision Foundation Model for downstream Face Security tasks: cross-dataset deepfake detection, cross-domain face anti-spoofing, and unseen diffusion facial forgery detection. Extensive experiments on 10 public datasets demonstrate that our model transfers better than supervised pretraining, visual and facial self-supervised learning arts, and even outperforms task-specialized SOTA methods.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.02269","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11092767","deepfake detection;facial representation learning;self-supervised learning;face anti-spoofing;diffuion facial forgery detection;face security","Representation learning;Deepfakes;Visualization;Foundation models;Semantics;Self-supervised learning;Forgery;Pattern recognition;Security;Faces","","2","","116","IEEE","13 Aug 2025","10-17 June 2025","10-17 June 2025","IEEE","IEEE Conferences"
"Adversarial Samples Generated by Self-Forgery for Face Forgery Detection","H. Duan; Q. Jiang; X. Xu; Y. Wang; H. Yi; S. Yao; X. Jin","School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Journalism, Yunnan University, Kunming, China; Department of Information Technology, The Second Affiliated Hospital of Kunming Medical University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China","IEEE Transactions on Biometrics, Behavior, and Identity Science","26 Jun 2025","2025","7","3","432","443","As deep learning techniques continue to advance making face synthesis realistic and indistinguishable. Algorithms need to be continuously improved to cope with increasingly sophisticated forgery techniques. Current face forgery detectors achieve excellent results when detecting training and testing from the same dataset. However, the detector performance degrades when generalized to unknown forgery methods. One of the most effective ways to address this problem is to train the model using synthetic data. This helps the model learn a generic representation for deep forgery detection. In this article, we propose a new strategy for synthesis of training data. To improve the quality and sensitivity to forgeries, we include a Multi-scale Feature Aggregation Module and a Forgery Identification Module in the generator and discriminator. The Multi-scale Feature Aggregation Module captures finer details and textures while reducing forgery traces. The Forgery Identification Module more acutely detects traces and irregularities in the forgery images. It can better distinguish between real and fake images and improve overall detection accuracy. In addition, we employ an adversarial training strategy to dynamically construct the detector. This effectively explores the enhancement space of forgery samples. Through extensive experiments, we demonstrate the effectiveness of the proposed synthesis strategy. Our code can be found at: https://github.com/1241128239/ASG-SF.","2637-6407","","10.1109/TBIOM.2025.3529026","Yunnan Fundamental Research Projects(grant numbers:202401AT070470,202301AW070007,202301AU070210); National Natural Science Foundation of China(grant numbers:62261060); Yunnan Province Major Science and Technology Project(grant numbers:202202AD080002); Yunnan Province Expert Workstations(grant numbers:202305AF150078); Yunnan University Scientific Research and Innovation Program(grant numbers:KC-23234709,TM-23236807); Xingdian Talent Project in Yunnan Province of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10839332","Deepfake detection;face forgery detection;deep learning;adversarial samples","Forgery;Face recognition;Training;Feature extraction;Generators;Faces;Detectors;Deepfakes;Deep learning;Adversarial machine learning","","","","53","IEEE","13 Jan 2025","July 2025","","IEEE","IEEE Journals"
"AI-Face: A Million-Scale Demographically Annotated AI-Generated Face Dataset and Fairness Benchmark","L. Lin; Santosh; M. Wu; X. Wang; S. Hu","Purdue University, West Lafayette, USA; Purdue University, West Lafayette, USA; Purdue University, West Lafayette, USA; University at Albany, State University of New York, New York, USA; Purdue University, West Lafayette, USA",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","3503","3515","AI-generated faces have enriched human life, such as entertainment, education, and art. However, they also pose misuse risks. Therefore, detecting AI-generated faces becomes crucial, yet current detectors show biased performance across different demographic groups. Mitigating biases can be done by designing algorithmic fairness methods, which usually require demographically annotated face datasets for model training. However, no existing dataset encompasses both demographic attributes and diverse generative methods simultaneously, which hinders the development of fair detectors for AI-generated faces. In this work, we introduce the AI-Face dataset, the first million-scale demographically annotated AI-generated face image dataset, including real faces, faces from deepfake videos, and faces generated by Generative Adversarial Networks and Diffusion Models. Based on this dataset, we conduct the first comprehensive fairness benchmark to assess various AI face detectors and provide valuable insights and findings to promote the future fair design of AI face detectors. Our AI-Face dataset and benchmark code are publicly available at https://github.com/Purdue-M2/AI-Face-FairnessBench.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.00332","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095050","deepfake detection;dataset;benchmark;fairness;ai-generated face","Training;Annotations;Social networking (online);Refining;Detectors;Benchmark testing;Licenses;Prediction algorithms;Pattern recognition;Faces","","8","","118","IEEE","13 Aug 2025","10-17 June 2025","10-17 June 2025","IEEE","IEEE Conferences"
