"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords"
"Rajesh, T.; Maruthupermal, S.","Rajesh, Tirupathi (60055683100); Maruthupermal, S. (60054258400)","60055683100; 60054258400","Generalizable deepfake detection framework using hybrid convolution-based EfficientNetB7 with attention mechanism","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013740842&partnerID=40&md5=87fa8f1e12c720047e82ef8f0c904675","The highly realistic fake videos have been created by the deepfake technology in recent years. The political and societal consequences occurred because of the misinformation disseminated by the fake videos. To prevent these issues, automated approaches for deep fake detection are necessary. The deep fake video is detected in this work using hybrid deep learning. The main contribution of the proposed research is to determine deepfakes from videos, which aims to avoid the spread of malicious rumours. The differences between the real and deepfake videos are effectively identified through this developed approach, as they utilize the different features from the facial landmarks along with the eye blinks for determining the sophisticated fakes from the authenticated visual contents. The required videos are collected from the public databases. The frames are extracted from the collected videos. The attained video frames are given to the facial landmark detection process, where the coordinates of the eyes, lips, and nose are extracted. From these detected facial landmarks, the texture features, shape features, and the number of eye blinks are obtained for better detection purposes. The extracted features are integrated with the optimized weights for attaining the weighted fused feature, where the Updated Random Parameter-aided Fennec Fox Optimization (URP-FFO) is used for tuning the weights optimally. Each frame of 1-dimensional data forms 2-dimensional original video frames, which are taken as feature set 1 from the weighted fused features. The 3-dimensional data from the facial images is considered as feature set 2. The attained features are given to the Hybrid 2D-3D Convolution-based EfficientNetB7 with Attention Mechanism (HC-EB7AM) for differentiating the real and fake videos. The manipulated contents are easily identified by this approach. Finally, several measures are used for validating the performance. The potential strength of the proposed model is validated by the experimentation with the accuracy of 93.66% using dataset 1 and 94.38% using dataset 2, respectively. © 2025 Elsevier Ltd","Deepfake detection; EfficientNetB7 with attention mechanism; Facial landmark extraction; Hybrid convolution network; Updated random parameter-based Fennec fox optimization; Video frames"
"Wang, J.; Jin, X.; Wang, H.; Jiang, L.","Wang, Jinyu (58078265000); Jin, Xin (56984939900); Wang, Huaye (59156347800); Jiang, Longteng (58759665200)","58078265000; 56984939900; 59156347800; 58759665200","VAD-Lip: Visual and Audio Deepfake Detection via Lip Features","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021655688&partnerID=40&md5=7d472314470bbba496a78230fe249747","With the widespread adoption of internet technology and smart devices, video has become a key medium for information dissemination, permeating nearly every aspect of social life. However, the misuse of deepfake technology has raised several social issues, such as the creation of fake videos for manipulating public opinion, financial fraud, and social engineering attacks, severely disrupting social order. Existing studies primarily focus on pure visual feature analysis and multimodal detection methods, but detection of audio-video desynchronization forgery remains relatively underexplored. This study proposes a new large-scale audiovisual forgery dataset, the Audio-Video Lip-sync Forged Dataset (AVLiFD), and introduces a novel multimodal deepfake detection method, Visual and Audio Deepfake Detection via Lip Features (VAD-Lip). The method combines visual and audio features specifically for detecting deepfake videos forged through audio, video, and audiovisual joint manipulation leading to audio-visual desynchronization. Experimental results demonstrate that the proposed method achieves high detection accuracy for audio-video joint forgery, providing new data support and technical solutions for research in this area. On the AVLiFD dataset, our model achieved an accuracy of 92.50% and an AUC of 0.9518, outperforming other models. On the Celeb-DF, FF++, and DFDC datasets, it also achieved high accuracy rates of 94.67%, 93.67%, and 92.80%, respectively. © 2025 Copyright held by the owner/author(s).","Deepfake Detection; Lip Features; Multi-Modal; Visual-Audio"
"Gao, Q.; Zhang, B.; Wu, J.; Luo, W.; Teng, Z.; Fan, J.","Gao, Qi (59680862500); Zhang, Baopeng (57211546343); Wu, Jianghao (58260652500); Luo, Wenxin (58684184300); Teng, Zhu (36553668200); Fan, Jianping (7402795255)","59680862500; 57211546343; 58260652500; 58684184300; 36553668200; 7402795255","Leveraging facial landmarks improves generalization ability for deepfake detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000788682&partnerID=40&md5=77411aebf9ee5caf6aa8528e59da5c65","Recently, facial forgery technology has become increasingly sophisticated and published datasets aim to cover a wide range of data variations. Existing deepfake detection models have benefited from the powerful feature embedding of deep networks and carefully designed fine-tuning modules, resulting in an excellent performance on in-dataset evaluations. However, the performance declines in cross-dataset evaluations due to various forgery methods and dataset shifts. In this study, we concentrate on the generalization issue of deepfake detection and find that forgery traces appear to gather around the facial interest points even manipulated by different forgery methods. To facilitate this, we propose a Trail Tracing Network (TTNet) to capture the generalized feature representation, which leverages facial landmarks to eliminate redundant information and expand the forged traces in the feature space. We conduct extensive experiments on the widely employed benchmarks, including FaceForensics++, DFDCp, and Celeb-DF. Experimental results demonstrate the outstanding generalization ability of our method against existing state-of-the-art methods by a large margin. In addition, the proposed method also exhibits excellent performance on the in-dataset evaluation. © 2025 Elsevier Ltd","Deepfake detection; Facial landmarks; Generalization"
"Sun, Z.; Ruan, N.","Sun, Zekun (57223991663); Ruan, Na (54684943100)","57223991663; 54684943100","GANK: Dynamic Geometric and Appearance Features for Efficient and Robust Detection of Face Forgery","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003735268&partnerID=40&md5=c3dd6615003268518e2bc1c01798279d","Deepfakes refers to various deep-learning-based techniques that manipulate the face in videos. Maliciously manufactured face forgeries could result in serious problems such as portrait infringement, information confusion, or even public panic. Previous countermeasures focused mainly on promoting detection accuracy while relatively overlooking robustness and computational overhead. In this work, we propose an efficient and robust framework named GANK, which discriminates Deepfake videos through temporal modeling on decoupled geometric and appearance features. A temporal denoising technique featuring landmark tracking and Kalman filtering is introduced to optimize the feature sequences, and multi-stream Recurrent Neural Networks (RNN) are constructed for sufficient exploitation of dynamic features. Besides, we introduce two optimizations to alleviate overfitting and enhance the utilization of temporal information, including channel-wise dropout and temporal random cropping. Our framework achieves outstanding robustness using very lightweight network backbones, reaching state-of-the-art performance on multiple benchmarks. © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Deepfake detection; Face forgery; Facial landmarks; Multimodal learning; Video analysis"
"Sohail, S.; Sajjad, S.M.; Zafar, A.; Iqbal, Z.; Muhammad, Z.; Kazim, M.","Sohail, Saud (59754568500); Sajjad, Syed Muhammad (56342241200); Zafar, Adeel (55602568100); Iqbal, Zafar (57770211300); Muhammad, Zia (56387287500); Kazim, Muhammad (59064523100)","59754568500; 56342241200; 55602568100; 57770211300; 56387287500; 59064523100","Deepfake Image Forensics for Privacy Protection and Authenticity Using Deep Learning","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003539462&partnerID=40&md5=6c03e4247ecd7df7857ec8f7e05e6b6f","This research focuses on the detection of deepfake images and videos for forensic analysis using deep learning techniques. It highlights the importance of preserving privacy and authenticity in digital media. The background of the study emphasizes the growing threat of deepfakes, which pose significant challenges in various domains, including social media, politics, and entertainment. Current methodologies primarily rely on visual features that are specific to the dataset and fail to generalize well across varying manipulation techniques. However, these techniques focus on either spatial or temporal features individually and lack robustness in handling complex deepfake artifacts that involve fused facial regions such as eyes, nose, and mouth. Key approaches include the use of CNNs, RNNs, and hybrid models like CNN-LSTM, CNN-GRU, and temporal convolutional networks (TCNs) to capture both spatial and temporal features during the detection of deepfake videos and images. The research incorporates data augmentation with GANs to enhance model performance and proposes an innovative fusion of artifact inspection and facial landmark detection for improved accuracy. The experimental results show near-perfect detection accuracy across diverse datasets, demonstrating the effectiveness of these models. However, challenges remain, such as the difficulty of detecting deepfakes in compressed video formats, the need for handling noise and addressing dataset imbalances. The research presents an enhanced hybrid model that improves detection accuracy while maintaining performance across various datasets. Future work includes improving model generalization to detect emerging deepfake techniques better. The experimental results reveal a near-perfect accuracy of over 99% across different architectures, highlighting their effectiveness in forensic investigations. © 2025 by the authors.","AI-generated content detection; cybersecurity and privacy protection; deep learning; deepfake detection; digital media authenticity; facial landmark detection; image forensics; manipulated media detection; real-time deepfake detection; video forensics"
"Zhang, Y.; Niu, R.; Zhang, X.; Chen, S.; Wang, M.; Li, X.","Zhang, Yue (59069118800); Niu, Run (57224592978); Zhang, Xianlin Zhang Z. (57195488768); Chen, Siqi (58176980000); Wang, Mingdao (57779848000); Li, Xueming (56031046700)","59069118800; 57224592978; 57195488768; 58176980000; 57779848000; 56031046700","Exploring coordinated motion patterns of facial landmarks for deepfake video detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000031996&partnerID=40&md5=7f34599c870d1590ca86028c7d989958","Due to the rich geometric and motion information they contain, recent studies indicate that facial landmark clues have significant potential for deepfake video detection. In this paper, we make a key observation that there exist coordinated motions among different facial landmarks for real individuals. While the forgery methods focus more on appearance realism, thus likely to disrupt the underlying coordinated motion patterns. Inspired by this observation, this paper explores how to leverage coordinated motion patterns among facial landmarks to enhance deepfake detection. First, we introduce a coordinated motion landmarks mining strategy (CMLMS), to effectively identify correlated landmarks. Utilizing these correlations, we propose a landmark temporal dynamic relation module (LTDRM), which focuses on the coordinated motion patterns between landmarks while extracting their spatiotemporal features. Specifically, LTDRM constructs an adjacency matrix based on the correlated landmarks and uses graph convolution to selectively aggregate information between correlated landmarks. Additionally, LTDRM is a plug-and-play module and can boost the performance of existing deepfake detection methods with minimal computational overhead. Experimental results validate the effectiveness and generalizability of our method. © 2025 Elsevier B.V.","Coordinated motion; Deepfake detection; Facial landmark"
"El-Taj, H.; Alammari, F.; Alkhowaiter, J.; Bogari, L.; Essa, R.","El-Taj, Homam (35317497100); Alammari, Fatima (59561799300); Alkhowaiter, Joud (59560797100); Bogari, Layal (59561366400); Essa, Renad (59561799400)","35317497100; 59561799300; 59560797100; 59561366400; 59561799400","Deepfake Detection Based on Visual Lip-sync Match and Blink Rate","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218749969&partnerID=40&md5=9fb6b9c809efbe37274893104a918cfd","Deepfake technology has emerged as a significant challenge to the authenticity of digital media, necessitating innovative detection methods. This paper introduces TrueSync, an advanced application for detecting deepfake videos by integrating two critical detection features: lip-sync analysis and blink rate monitoring. Leveraging a hybrid approach combining CNN-LSTM and SyncNet models, TrueSync processes visual and temporal features to identify anomalies in lip movement synchronization and eye blinking patterns. The application utilizes a modular pipeline to analyse these features independently and then fuses the results for a comprehensive detection score. This approach enhances detection accuracy and provides users with reliable tools to combat sophisticated manipulations. By proposing this scalable solution, TrueSync addresses the increasing difficulty in distinguishing authentic videos from manipulated content, fostering trust in digital media. © IJCESEN.","Artificial Intelligence; Blink Rate; Deepfake Detection; visual lip-sync matching"
"Badoni, P.; DIldar, M.S.; Ahmed, M.N.; Zamani, A.S.; Hussain, M.R.; Wadhwa, M.","Badoni, Parveen (58257583600); DIldar, Muhammad Shahid (57194213565); Ahmed, Mohammad Nadeem (57135903900); Zamani, Abu Sarwar (57295189700); Hussain, Mohammad Rashid (57205669651); Wadhwa, Manoj (26421405100)","58257583600; 57194213565; 57135903900; 57295189700; 57205669651; 26421405100","The Growing Need for Deepfakes Detection in the Age of AI-Generated Media","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017418157&partnerID=40&md5=150c72973a2ed043333c6845b6dba2e1","Deepfakes detection is now a necessity because deep learning methods for producing highly realistic synthetic media are advancing at an alarming rate. These doctored photos, videos, and audio files can mislead their audience, disseminate disinformation, and represent a major security risk. Detection techniques utilize convolutional neural networks, recurrent neural networks, and transformer models to detect minor artifacts, inconsistencies, and unnatural patterns in multimedia content. Methods such as frequency analysis, facial landmark tracking, and adversarial training are used to improve detection accuracy. The ongoing development of generative models requires constant research to create resilient and flexible detection systems that can counter the threats from synthetic media manipulation. © 2025 IEEE.","adversarial training; convolutional neural networks; Deepfakes detection; digital security; facial landmark tracking; generative models; misinformation; multimedia forensics; synthetic media"
"Ming, L.; He, P.; Li, H.; Wang, S.; Jiang, X.","Ming, Liyue (57209884407); He, Peisong (57075586900); Li, Haoliang (56593801800); Wang, Shiqi (55364979300); Jiang, Xinghao (13607511800)","57209884407; 57075586900; 56593801800; 55364979300; 13607511800","Critical Contour Prior-Guided Graph Learning With Pose Calibration for Identity-Aware Deepfake Detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017131421&partnerID=40&md5=a2f547ae16b7f52481cbb04ef318f3da","Deepfake has recently raised severe public concerns about security issues, such as creating fake news of celebrities. As countermeasures, identity-aware detection methods leverage identity information to expose forged videos by measuring identity consistency between the suspicious input and its reference samples. However, the performance of existing methods suffers from notable degradation due to undesired variations of head poses and capturing environments. In this work, we first conduct a statistical analysis to illustrate the influence of different facial regions for forensic purposes, which infers more reliable identity information is located in critical face regions. Motivated by this analysis, we propose a graph learning-based identity-aware deepfake detection framework considering critical contour prior as guidance. First, feature sampling based on contour landmarks is applied to construct the graph data as the input of our critical contour prior-guided graph attention network (CP-GAT), where a node position prediction task is constructed as auxiliary supervision to explore rich relationships between nodes. To enhance pose-invariant ability, a rotation compensation block is integrated into CP-GAT and trained using a pose-calibrated contrastive learning to extract identity features, which takes high-quality front faces as the calibration goal with a progressively updating selection. Besides, an adversarial node masking-based training strategy is proposed as feature augmentation to further enhance the reliability. During the inference stage, the similarity between identity features of the input sample and its reference samples extracted by the trained CP-GAT is used to obtain the detection result. Extensive experiments are conducted on various face forgery datasets and state-of-the-art methods are compared to verify the superiority of the proposed method in terms of detection capability and robustness. © 1999-2012 IEEE.","contrastive learning; Deepfake detection; graph learning; video forensics"
"Sheelavantmath, K.K.; Isloor, V.; Sheetal, B.; Bhuvisha, N.; Sandesh, B.J.","Sheelavantmath, Khushi Kiran (60098002600); Isloor, Vaibhav (60097910400); Sheetal, B. V. (58069100200); Bhuvisha, N. (60097910500); Sandesh, Balasaraswati J. (57194794854)","60098002600; 60097910400; 58069100200; 60097910500; 57194794854","Localization of Deepfake Facial Images Through U-NET Architecture","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015790368&partnerID=40&md5=b96159862bbae2c9f51061dfa8a23492","Traditional deep fake detection methods predominantly rely on binary classification, categorizing images as either real or fake, which often limits their transparency and interpretability for real-world applications. To address this, we propose a novel approach that integrates Histogram of Oriented Gradients (HOG) features into a U-Net architecture, enabling the capture of both fine-grained texture patterns and high-level contextual information in deep fake regions. For enhanced interpretability, Class Activation Maps (CAM) are transformed into the HSV color space, facilitating intuitive color-based analysis. Contour detection is then employed to localize manipulated regions, and bounding boxes are generated using Dlib to precisely identify these features. By iterating through 68 facial landmarks, textual descriptions are generated to highlight alterations in facial features, providing a detailed understanding of the modifications. To further quantify the extent of manipulation, the resulting feature map undergoes a quantitative assessment by calculating the percentage of contour-detected areas. This method offers a comprehensive framework for identifying and analyzing subtle differences between genuine and modified images, advancing the transparency and accuracy of deep fake detection. ©2025 IEEE.","Class Activation Maps (CAM); Contour Detection; Deepfake Detection; Dlib; Facial Landmark Analysis; Histogram of Oriented Gradients (HOG); HSV Color Space; U-Net Architecture"
