"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords"
"Han, R.; Wang, X.; Bai, N.; Hou, J.; Zhang, W.; Li, J.","Han, Ruidong (58199903300); Wang, Xiaofeng (7501854020); Bai, Ningning (58102462000); Hou, Jianpeng (58861477200); Zhang, Wenshuo (60041028100); Li, Jianghua (55800222700)","58199903300; 7501854020; 58102462000; 58861477200; 60041028100; 55800222700","HSFF-Net: Hierarchical spectral-feature fusion network for deepfake detection and localization","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013114740&partnerID=40&md5=66d399fe80dc48060d8a44e3daa35710","The rapid development of deepfake techniques poses a serious threat to multimedia authenticity, driving increased attention to deepfake detection. However, most existing methods focus solely on classification while overlooking forgery localization, which is essential for understanding manipulation intent. To address this issue, we propose a novel Hierarchical Spectral-Feature Fusion Network (HSFF-Net) for deepfake detection and localization from spatial- and frequency-domain views. Specifically, the Spectral Detail Amplification (SDA) module enhances tampering cues around facial features in the frequency domain. The Dynamic Collaborative Fusion (DCF) unit integrates complementary dual-stream features across multiple hierarchical levels to highlight valuable information. The Adaptive Feature Elevation (AFE) module bridges coarse semantic and fine-grained details in a top-down manner. Furthermore, the Global Guidance Exposure (GGE) module injects localization cues across feature levels to improve forgery localization accuracy. Additionally, we design the contrastive clustering loss for the detection task, which guides features to cluster around their corresponding class centers while simultaneously pushing them away from other class centers, thereby promoting intra-class compactness and inter-class separability. Abundant experiments demonstrate that HSFF-Net achieves superior performance on both detection and localization tasks, with good generalization across diverse datasets and robustness against various perturbations. © 2025","Adaptive feature elevation; Contrastive clustering loss; Deepfake detection and localization; Dynamic collaborative fusion; Global guidance exposure; Spectral detail amplification"
"Jeon, M.; Woo, S.S.","Jeon, Minsun (59916876300); Woo, Simon S. (57202046772)","59916876300; 57202046772","Seeing Through the Blur: Unlocking Defocus Maps for Deepfake Detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023147626&partnerID=40&md5=7789f96de46db76af6c1da1e75866f8d","The rapid advancement of generative AI has enabled the mass production of photorealistic synthetic images, blurring the boundary between authentic and fabricated visual content. This challenge is particularly evident in deepfake scenarios involving facial manipulation, but also extends to broader AI-generated content (AIGC) cases involving fully synthesized scenes. As such content becomes increasingly difficult to distinguish from reality, the integrity of visual media is under threat. To address this issue, we propose a physically interpretable deepfake detection framework and demonstrate that defocus blur can serve as an effective forensic signal. Defocus blur is a depth-dependent optical phenomenon that naturally occurs in camera-captured images due to lens focus and scene geometry. In contrast, synthetic images often lack realistic depth-of-field (DoF) characteristics. To capture these discrepancies, we construct a defocus blur map and use it as a discriminative feature for detecting manipulated content. Unlike RGB textures or frequency-domain signals, defocus blur arises universally from optical imaging principles and encodes physical scene structure. This makes it a robust and generalizable forensic cue. Our approach is supported by three in-depth feature analyses, and experimental results confirm that defocus blur provides a reliable and interpretable cue for identifying synthetic images. We aim for our defocus-based detection pipeline and interpretability tools to contribute meaningfully to ongoing research in media forensics. The implementation is publicly available at: https://github.com/irissun9602/Defocus-Deepfake-Detection. © 2025 Copyright held by the owner/author(s).","deepfake detection; defocus blur; image forensics"
"Alam, I.; Islam, M.T.; Woo, S.S.","Alam, Inzamamul (58909433700); Islam, Md Tanvir (57214094988); Woo, Simon S. (57202046772)","58909433700; 57214094988; 57202046772","SpecXNet: A Dual-Domain Convolutional Network for Robust Deepfake Detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024070638&partnerID=40&md5=8243cfaf3216cfd76b1cddf67490e46f","The increasing realism of content generated by GANs and diffusion models has made deepfake detection significantly more challenging. Existing approaches often focus solely on spatial or frequency-domain features, limiting their generalization to unseen manipulations. We propose the Spectral Cross-Attentional Network (SpecXNet), a dual-domain architecture for robust deepfake detection. The core Dual-Domain Feature Coupler (DDFC) decomposes features into a local spatial branch for capturing texture-level anomalies and a global spectral branch that employs Fast Fourier Transform to model periodic inconsistencies. This dual-domain formulation allows SpecXNet to jointly exploit localized detail and global structural coherence, which are critical for distinguishing authentic from manipulated images. We also introduce the Dual Fourier Attention (DFA) module, which dynamically fuses spatial and spectral features in a content-aware manner. Built atop a modified XceptionNet backbone, we embed the DDFC and DFA modules within a separable convolution block. Extensive experiments on multiple deepfake benchmarks show that SpecXNet achieves state-of-the-art accuracy, particularly under cross-dataset and unseen manipulation scenarios, while maintaining real-time feasibility. Our results highlight the effectiveness of unified spatial-spectral learning for robust and generalizable deepfake detection. To ensure reproducibility, we release the full code on https://github.com/inzamamulDU/SpecXNet. © 2025 Copyright held by the owner/author(s).","deepfake detection; dual-domain learning; fake image classification; frequency domain; security"
"Battiato, S.; Casu, M.; Guarnera, F.; Guarnera, L.; Puglisi, G.; Pontorno, O.; Ragaglia, C.V.; Akhtar, Z.","Battiato, Sebastiano (6603989025); Casu, Mirko (57374838700); Guarnera, Francesco (57211180426); Guarnera, Luca (57196273602); Puglisi, Giovanni (55346939100); Pontorno, Orazio (58898116500); Ragaglia, Claudio Vittorio (58970164400); Akhtar, Zahid (46661628200)","6603989025; 57374838700; 57211180426; 57196273602; 55346939100; 58898116500; 58970164400; 46661628200","Adversarial Attacks on Deepfake Detectors: A Challenge in the Era of AI-Generated Media (AADD-2025)","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024068051&partnerID=40&md5=f6a14362d722829cf87fdd4bbefa1661","The rapid proliferation of AI-generated media, particularly hyper-realistic deepfakes, has underscored the critical need for robust detection systems to mitigate risks such as misinformation and identity theft. However, state-of-the-art deepfake detectors remain vulnerable to adversarial attacks-subtle perturbations designed to evade classification. To address this gap, we organized the Adversarial Attacks on Deepfake Detectors (AADD-2025) challenge, a competitive evaluation aimed at advancing methodologies to expose and strengthen weaknesses in deepfake detection models. The challenge tasked participants with generating adversarial examples capable of evading four diverse classifiers (including ResNet, DenseNet, and two blind models) while preserving structural similarity to original deepfakes. A dataset comprising 16 subsets of high- and low-quality deepfake images generated by GAN-based and diffusion models (e.g., StableDiffusion, StyleGAN3) was provided. Participants were evaluated using a weighted combination of Structural Similarity Index (SSIM) and attack success rates across all classifiers. Thirteen teams proposed innovative solutions leveraging techniques such as latent-space manipulation, ensemble gradient optimization, surrogate modeling, and frequency-domain perturbation. Top-performing approaches, including MR-CAS (1st place), Safe AI (2nd place), and RoMa (3rd place), achieved high SSIM scores (0.74-0.93) while successfully misleading classifiers. Notably, MR-CAS's latent diffusion model inversion strategy and Safe AI's consensus-orthogonal gradient weighting framework demonstrated superior transferability across architectures, including Vision Transformers. The challenge revealed critical insights: latent-space attacks outperformed pixel-level methods, ensemble-based strategies enhanced cross-model robustness, and adversarial perturbations optimized for both CNNs and transformers proved most effective. However, gaps persist in generalizing attacks across heterogeneous models and maintaining perceptual fidelity, highlighting the urgency of developing adaptive defenses and hybrid detection mechanisms. By fostering collaboration and innovation, AADD-2025 provides a benchmark for evaluating adversarial robustness in deepfake detection and underscores the need for resilient systems in the era of AI-generated media. © 2025 Copyright held by the owner/author(s).","adversarial attacks; ai-generated media; deepfake detection; diffusion models; digital forensics; ensemble methods; generative models; latent-space manipulation; perceptual quality; transferability; vision transformers"
"Sai Charan, G.; Karthik, R.; Muktha Sri, V.; Kandepi, D.S.S.","Sai Charan, Guntupalli V. (57866214000); Karthik, R. (55953378300); Muktha Sri, Vuppula (59899759800); Kandepi, Durjai Sri Sai (59900581900)","57866214000; 55953378300; 59899759800; 59900581900","CAL-Net: a continual adaptive learning network for deepfake detection using multi-track fusion and domain adaptation","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016099215&partnerID=40&md5=d4ba5410f860c6b6fbbbbdcdc619ad49","The fast advancement of deepfake generation methods poses a serious challenge to the detection of deepfakes using traditional methods. These methods rely on static models and low-level artifact analysis, limiting their ability to generalize across evolving manipulations. This widening gap requires a new approach to deepfake detection methods that are both adaptive and dynamic. To address this problem, we introduce the Continual Adaptive Learning Network (CAL-Net), a novel method that combines multi-track feature extraction and dynamic domain adaptation for deepfake detection. CAL-Net consists of three complementary feature extractors: frequency domain analysis to identify inconsistencies introduced by deepfake manipulations, Data-Efficient Image Transformer (DEIT) for representing global information, and Xception network for learning local information. By combining these multi-track features, CAL-Net effectively detects important manipulation traces. We also propose a domain adaptation module that leverages cosine similarity for effective domain detection. This module dynamically adapts to new manipulation methods while mitigating the issue of catastrophic forgetting. To the best of our knowledge, this is the first work to combine multi-track feature extraction and domain adaptation with continual learning for deep fake detection. Evaluating on the Continual Deepfake Detection Benchmark (CDDB) dataset, CAL-Net achieved 94% accuracy and outperformed existing methods. The proposed approach demonstrates cross-domain generalization and robustness to diverse and new deepfake attacks. The research emphasizes the need for continual learning and multi-track feature fusion to make deepfake detection systems scalable. © 2025 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.","adaptive domain adaptation; catastrophic forgetting; continual learning; deepfake detection; multi-track feature extraction"
"Krasilnikov, M.; Nikitin, M.; Konushin, A.","Krasilnikov, Maksim (60116876300); Nikitin, Mikhail Yurievich (57199053672); Konushin, Anton S. (6506829728)","60116876300; 57199053672; 6506829728","VCF: A Real-World Video Conference Deepfake Benchmark for Face-Swap Detection and Robustness Evaluation","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017233520&partnerID=40&md5=b7f78ac48f3d1d86dd90471a67b8d487","The rapid advancement of deepfake generation techniques poses significant security and privacy risks, particularly in video conferencing scenarios where variable resolutions, compression artifacts, and environmental factors complicate detection. Existing benchmarks often fail to address these context-specific challenges, limiting their applicability to real-world communication platforms. To bridge this gap, we introduce VCF (Video Conference DeepFakes) dataset, the first, to the best of our knowledge, specialized benchmark designed for evaluating deepfake detection in video conferencing contexts. VCF leverages the VCD dataset as target videos and the LaPa dataset as a set of source faces, algorithmically ranking sources by similarity in gender, ethnicity, age, and facial hair to select optimal matches for enhanced deepfake visual plausibility. The dataset incorporates multi-resolution videos, H.264 compression artifacts from different compression rates, and diverse backgrounds to simulate conditions specific to video conferences. Comprehensive evaluations of 14 detection methods reveal significant performance degradation under video quality variations. Our results emphasize the critical need for robust detection frameworks resilient to resolution shifts, compression artifacts, and diverse generation pipelines. VCF provides a standardized, scenario-specific benchmark to drive advancements in securing digital communication platforms against evolving deepfake threats. © © 2025 Maksim Krasilnikov et al.","Benchmark; Dataset; Deepfake detection; Face-swapping detection"
"Jin, X.; Kou, Y.; Xie, Y.; Zhao, Y.; Mat Kiah, M.L.; Jiang, Q.; Zhou, W.","Jin, Xin (56991832300); Kou, Yuru (58988680500); Xie, Yuhao (60074940000); Zhao, Yuying (60075106400); Mat Kiah, Miss Laiha (57214221751); Jiang, Qian (57194699462); Zhou, Wei (56857006600)","56991832300; 58988680500; 60074940000; 60075106400; 57214221751; 57194699462; 56857006600","Learning Local Texture and Global Frequency Clues for Face Forgery Detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014369586&partnerID=40&md5=d888b821b13e9abbe0916488284c6a01","In recent years, the rapid advancement of deep learning techniques has significantly propelled the development of face forgery methods, drawing considerable attention to face forgery detection. However, existing detection methods still struggle with generalization across different datasets and forgery techniques. In this work, we address this challenge by leveraging both local texture cues and global frequency domain information in a complementary manner to enhance the robustness of face forgery detection. Specifically, we introduce a local texture mining and enhancement module. The input image is segmented into patches and a subset is strategically masked, then texture enhanced. This joint masking and enhancement strategy forces the model to focus on generalizable localized texture traces, mitigates overfitting to specific identity features and enabling the model to capture more meaningful subtle traces of forgery. Additionally, we extract multi-scale frequency domain features from the face image using wavelet transform, thereby preserving various frequency domain characteristics of the image. And we propose an innovative frequency-domain processing strategy to adjust the contributions of different frequency-domain components through frequency-domain selection and dynamic weighting. This Facilitates the model’s ability to uncover frequency-domain inconsistencies across various global frequency layers. Furthermore, we propose an integrated framework that combines these two feature modalities, enhanced with spatial attention and channel attention mechanisms, to foster a synergistic effect. Extensive experiments conducted on several benchmark datasets demonstrate that the proposed technique demonstrates superior performance and generalization capabilities compared to existing methods. © 2025 by the authors.","bioinformatics; deep learning; deepfake detection; face forgery detection; frequency domain"
"Qi, Y.; Xie, H.; Gao, Y.; Lin, Y.; Zhang, H.; Han, H.","Qi, Yongfeng (54893032200); Xie, Hongli (59462971900); Gao, Yajuan (59982470400); Lin, Yuanzhe (59463341200); Zhang, Heng (59463525100); Han, Haixi (59982611300)","54893032200; 59462971900; 59982470400; 59463341200; 59463525100; 59982611300","Generalizable face forgery detection based on adaptive spatial-frequency information mining","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010001788&partnerID=40&md5=545dd79d953a33794c6084c8b64b78f1","In the current field of face forgery detection, researchers are focused on recognizing forgery cues through the combination of frequency information and convolutional neural networks (CNN). However, existing methods often fail to capture spatial correlations with image content when extracting frequency features, making it difficult to accurately recognize highly simulated forged images. In addition, these methods perform well on homogeneous datasets, but their effectiveness decreases significantly when evaluated on cross-dataset samples. To address these issues, we propose a novel adaptive spatial-frequency information mining (ASFIM) method for generalizable face forgery detection. Specifically, the ASFIM method first processes the original RGB image through a frequency-aware learning module. This module extracts forgery frequency information closely related to the image content, which is subsequently used as input for frequency branching. Next, a spatial texture enhancement module is introduced to enable interaction between spatial and frequency features at an early stage. This approach not only strengthens the expressiveness of forgery features in the spatial domain but also provides an effective guide for recognizing forgery cues in the frequency domain. Finally, we designed the cross-domain interactive attention (CDIA) module to enhance forgery cues by deeply fusing spatial texture and frequency-aware features. Extensive experimental results demonstrate that the proposed ASFIM method outperforms various advanced methods in terms of generalization ability across challenging benchmark tests. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","DCT; Deepfake detection; Face forgery detection; Frequency-aware learning; Spatial texture enhancement"
"Yao, W.; Li, P.; Zhao, Y.; Wu, H.","Yao, Wenda (60042789100); Li, Panchi (16245350600); Zhao, Ya (60042679500); Wu, Hongchao (60042679600)","60042789100; 16245350600; 60042679500; 60042679600","Review of research on face deepfake detection methods; 人脸深度伪造检测方法研究综述","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013250991&partnerID=40&md5=2f1980f5956901189d7050a1b8a510b3","Deepfake technology refers to the synthesis of images，audio，and videos by using deep learning algorithms. This technology enables the precise mapping of facial features or other physical characteristics from one person onto a subject in another video，achieving highly realistic face-swapping effects. With advancements in algorithms and the increased accessibility of computational resources，the threshold for utilizing deepfake technology has gradually lowered，bringing convenience and numerous social and legal challenges. For example，deepfake technology is used to bring deceased actors back to the screen，providing a novel experience to the audience. Meanwhile，it is frequently exploited to impersonate citizens or leaders for fraudulent activities，produce pornographic content，or create fake news to influence public opinion. Consequently，the importance of deepfake detection technology is increasing，making it a significant focus of current research. To detect images and videos synthesized via deepfake technology，researchers must design models that can uncover subtle traces of manipulation within these media. However，accurately identifying these traces remains challenging due to several factors that complicate the detection process. First，rapid advancements in deepfake technology have made differentiating fake images and videos from authentic content increasingly difficult. As techniques such as generative adversarial networks（GANs）and diffusion models continue to evolve and improve，the texture，lighting，and motion within synthesized media become more seamlessly realistic，imposing significant challenges on detection models that seek to recognize subtle cues of manipulation. Second，forgers can employ a variety of countermeasures to obscure traces of manipulation，such as applying compression，cropping，or noise addition. Furthermore，forgers may create adversarial samples that are specifically crafted to exploit and bypass the vulnerability of detection models，making the identification of deepfake even more complex. Thirdly，the generalizability of deepfake detection methods remains a significant hurdle，because different generative techniques leave behind distinct forensic traces. For example，GAN-generated images frequently exhibit prominent grid-like artifacts in the frequency domain，while images produced through diffusion models typically leave only subtle，less detectable traces in this domain. Therefore，detection models that do not exclusively rely on low-level，technique-specific features but instead focus on capturing deep，generalized features that ensure robustness and applicability across diverse forgery types and detection scenarios are crucial. To address these multifaceted challenges，numerous scholars have proposed a variety of detection methods that are designed to capture nuanced traces left by deepfake manipulations. For example，certain approaches focus on identifying subtle forgery artifacts within the frequency domain of images，capitalizing on the distinct spectral anomalies that forgeries frequently introduce. Other methods prioritize assessing temporal consistency across video frames，because unnatural transitions or frame-level inconsistencies can indicate synthesized content. In addition，some detection strategies focus on evaluating synchronization among different modalities within videos，such as audio and visual elements，to detect inconsistencies that may reveal forgery. At present，several review papers in academia have summarized key research and developments within this domain. However，given the rapid advancements in generative artificial intelligence（AI），fake faces created with diffusion models have recently gained popularity，with scarcely any review that addresses the detection of such forgeries. Furthermore，as generative AI progresses continues advancing toward multimodal integration，deepfake detection methods are similarly evolving to incorporate features from multiple modalities. Nonetheless，the majority of existing reviews lack sufficient focus on multimodal detection approaches，underscoring a gap in the literature that this review seeks to address. To provide an up-to-date overview of face deepfake detection，this review first organizes commonly used datasets and evaluation metrics in the field. Then，it divides detection methods into image-level and video-level face deepfake detection. Based on feature selection approaches，image-level methods are categorized into spatial-domain and frequency-domain methods，while video-level methods are categorized into approaches based on spatiotemporal inconsistencies，biological features，and multimodal features. Each category is thoroughly analyzed with regard to its principles，strengths，weaknesses，and developmental trends. Finally，current research status and challenges in face deepfake detection are summarized，and future research directions are discussed. Compared with other related reviews，the novelty of this review lies in its summary of detection methods that specifically targets text-to-image/video generation and multimodal detection methods. This review is aligned with the latest trends in generative AI，offering a comprehensive and up-to-date summary of recent advancements in face deepfake detection. By examining the latest methodologies，including those developed to address forgeries created through advanced techniques，such as diffusion models and multimodal integration，this review reflects the ongoing evolution of detection technology. It highlights the progress made and the challenges that remain，positioning itself as a valuable resource for researchers who aim to navigate and contribute to the cutting-edge developments in this rapidly advancing field. A comprehensive analysis of face deepfake detection methods reveals that current techniques achieve nearly 100% accuracy within the training datasets，particularly those leveraging advanced models，such as Transformers. However，their performance frequently declines significantly in cross-dataset testing，particularly for spatial-domain and frequency-domain detection methods. This decline suggests that these approaches may fail to capture essential，generalizable features that are robust across varying datasets. By contrast，biological feature-based methods demonstrate superior generalization capabilities，successfully adapting to different contexts. However，they require carefully tailored training data and specific application conditions to reach optimal performance. Meanwhile，multimodal detection methods，which integrate features across multiple modalities，offer enhanced robustness and adaptability due to their layered approach. However，this added complexity frequently results in higher computational costs and increased model intricacy. Given the diversity in feature selection，along with the unique advantages and limitations inherent to each detection approach，no single method has yet provided a fully comprehensive solution to the deepfake detection challenge. This reality underscores the critical need for continued research in this evolving field and highlights the importance of this review in mapping current advancements and identifying future research directions. © 2025 Editorial and Publishing Board of JIG. All rights reserved.","deepfake detection; face forgery detection; face image; face video; frequency domain feature; multimodal features; spatial domain feature; temporal features"
"Zou, Z.; Peng, D.; Zhao, Y.; Tian, Z.; Cai, J.","Zou, Zheng (59797813300); Peng, Dunlu (8556510900); Zhao, Yu (59955122700); Tian, Zekun (57222006521); Cai, Jun (59955988400)","59797813300; 8556510900; 59955122700; 57222006521; 59955988400","FTA-DFI: a framework for generalizable deepfake detection based on distinctive features from various manipulations compared to genuine images","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008697615&partnerID=40&md5=cfd68e632e0780718d502101c4e74a77","Deepfakes have attracted considerable attention due to their detrimental impact, notably the production of convincing fake images and their unregulated dissemination. However, existing detectors suffer from a common defect that obsessing with low-level local artifacts or predefined forgery patterns while neglecting the intrinsic differences between the forged and genuine images. This leads to significant performance decline when the model encounters with unseen domains and forgeries. To address this issue, this paper proposes a novel framework, named as FTA-DFI, which leverages disentanglement learning and adversarial learning to analyze forgery traces amplified from the perspective of key facial features and frequency domain. FTA-DFI consists of the Fake Trace Amplification Strategy (FTAS) and the Distinctive Feature Identification Strategy (DFIS). FTAS suppresses method-specific features and identity information using the Face Features Random Mask and amplifies manipulated artifacts through the Frequency Domain Converter. DFIS employs the Feature Separation Disentangler and Intrinsic-Adversarial Learning modules to discern distinctive features between fake and genuine images, thereby further mitigating the overfitting of forgery-irrelevant information and specific forgery approaches. Extensive experimental results demonstrate that FTA-DFI outperforms current state-of-the-art models in generalization evaluations across mainstream datasets, validating the superior performance of the proposed architecture in terms of generalization capability. The code is available at https://github.com/zouzhengcs/FTA-DFI. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Adversarial learning; Deepfake detection; Disentanglement learning; Frequency domain; Generalization"
