Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Detecting Deepfakes using Temporal Consistency of Facial Expression Transitions;"R. E. Chacko; G. Bajwa";"Department of Computer Science, Lakehead University, Thunder Bay, Ontario, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Ontario, Canada";2025 22nd Annual International Conference on Privacy, Security, and Trust (PST);3 Dec 2025;2025;;;1;7;Deepfake generation techniques have developed at a rapid rate, making it possible to generate highly realistic yet misleading videos with potentially far-reaching implications for privacy, security, and public confidence. This paper presents a study on the detection of deepfakes using the temporal consistency of facial expression transitions. Our method captures and integrates significant spatial and temporal information, facial edges, and dense optical flow with an Xception-based CNN and a bidirectional LSTM (BiLSTM) with an attention mechanism. We evaluated the approach on a multi-expression dataset obtained from DeeperForensics-1.0, comparing performance systematically across a range of expressions from Angry to Neutral. The experiments demonstrate a detection rate of up to $98.38 \%$ on the combined multi-expressions and point to the unique challenge of less expressive emotions. The findings affirm that face expression continuity examination plays an important part in enhancing the robustness of deepfake detection, achieving a scalable and adaptive approach to verifying the integrity of real-world media.;2643-4202;979-8-3315-0343-7;10.1109/PST65910.2025.11268852;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268852;"Deepfake detection;temporal consistency;facial expression analysis;optical flow;edges;Xception;bidirectional LSTM;attention mechanism;video forensics;spatio-temporal modeling";"Deepfakes;Privacy;Attention mechanisms;Image edge detection;Bidirectional long short term memory;Media;Robustness;Security;Optical flow;Faces";;;;34;IEEE;3 Dec 2025;26-28 Aug. 2025;26-28 Aug. 2025;IEEE;IEEE Conferences
GASGM-GFT: Gaussian Attenuation Singing Graph Model and Graph Fourier Transform for Singing Voice Deepfake Detection;"B. Wu; Q. Qian; L. Ran; H. Wang";"School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China";2025 International Joint Conference on Neural Networks (IJCNN);14 Nov 2025;2025;;;1;8;Singing voice synthesis and singing voice conversion technologies have raised significant concerns regarding music copyright and authenticity. While extant research has predominantly focused on detecting spoofing speech, much less attention has been given to deepfake singing voice. Moreover, conventional techniques frequently prove incapable of capturing the intricate temporal relationships inherent in vocalisation, thus impeding their capacity to effectively extract both local and global characteristics. To address these challenges, this paper introduces a novel deepfake detection method of singing voice called GASGM-GFT (Gaussian Attenuation Singing Graph Model and Graph Fourier Transform). In this approach, a singing graph model between sampling points of the original singing is creatively constructed using a Gaussian attenuation function. This model captures the complex temporal relationships of the singing signal. Next, the Graph Fourier Transform (GFT) is applied to map the singing signal into the graph frequency domain. This helps capture both local and global frequency features within the singing graph model, revealing hidden deepfake properties of the signal. The one-dimensional graph frequency domain signals are then expanded into two dimensions and processed through residual blocks for feature enhancement. Finally, the graph attention module is utilized to model node relationships, compute attention weights, and aggregate features through graph pooling layers to produce the final discrimination result. The experimental results demonstrate that GASGM-GFT outperforms existing advanced methods for spoofing speech detection and singing voice deepfake detection on the CtrSVDD dataset. It achieves an equal error rate (EER) of only 2.53% on the Vocals test set and surpasses other systems on the Mixture test set.;2161-4407;979-8-3315-1042-8;10.1109/IJCNN64981.2025.11228680;"National Natural Science Foundation of China; Department of Education of Guizhou Province; Guizhou Normal University; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228680;"Graph Signal Processing;Singing Voice Deepfake Detection;Graph Neural Network";"Voice activity detection;Deepfakes;Fourier transforms;Frequency-domain analysis;Computational modeling;Signal processing;Attenuation;Feature extraction;Robustness;Graph neural networks";;;;22;IEEE;14 Nov 2025;30 June-5 July 2025;30 June-5 July 2025;IEEE;IEEE Conferences
Using Graph Neural Networks to Improve Generalization Capability of the Models for Deepfake Detection;"H. She; Y. Hu; B. Liu; J. Li; C. -T. Li";"School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Information Technology, Deakin University, Geelong, VIC, Australia";IEEE Transactions on Information Forensics and Security;23 Sep 2024;2024;19;;8414;8427;Deepfake detection plays a key role in preventing the misuses of artificial intelligence in video editing. Current deep learning-based deepfake detection methods often perform quite well in intra-dataset testing, but they may lose good performance in cross-dataset testing. In other words, generalization capability is still a crucial problem to be resolved. In this paper, we address deepfake detection by treating an image as non-Euclidean data and representing it as a graph so as to infer the informative connections between image patches/nodes to improve the detector’s generalization capability. Specifically, we propose a graph neural network-based paradigm that casts deepfake detection as a graph binary classification problem. First, we propose a dual-branch network to extract node features from both RGB images and their color difference images (CDIs) via the Transformer-based trainable node encoder module (TNEM). Second, we adopt the adjacency matrix to establish the connections of the nodes and further optimize the graph representation by applying the adaptive threshold to the adjacency matrix. Third, multi-head graph convolutional neural networks are carried out for node feature extraction. RGB node features and CDI node features are concatenated and separately fed into the graph classifier and node classifier for forgery detection and forgery localization. Experimental results demonstrate that our method can overall outperform other state-of-the-art methods on 7 popular benchmark datasets. Notably, our model achieves the highest AUC values of 96.19%, 80.99% and 87.68% on Celeb-DF-V2, DFDC and DFDCP in turn when trained on FF++ (C23). The visualization of node classification results also provides good interpretability of our proposed approach.;1556-6021;;10.1109/TIFS.2024.3451356;"Science and Technology Foundation of Guangzhou Huangpu Development District(grant numbers:2022GH15);";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10654318;"Deepfake detection;graph neural network;generalization;transformer;color difference;graph classification";"Deepfakes;Feature extraction;Faces;Forgery;Graph neural networks;Face recognition;Image edge detection";;10;;68;IEEE;28 Aug 2024;2024;;IEEE;IEEE Journals
A Novel Multi-Scale Spectral-Guided Graph Attention Network for DeepFake Video Detection;"M. Irfan; M. J. Lee; A. Neyaz; D. Nobayashi";"Department of Electrical Engineering, City College of New York, New York, NY, USA; Department of Electrical Engineering, City College of New York, New York, NY, USA; School of Computing and Data Science, Wentworth Institute of Technology, Boston, MA, USA; Department of Electrical and Electronic Engineering, Kyushu Institute of Technology, Fukuoka, Japan";2025 13th International Symposium on Digital Forensics and Security (ISDFS);2 Jun 2025;2025;;;1;7;The rapid advancement of deepfake technology presents significant challenges for video authenticity verification, necessitating robust detection mechanisms. This paper introduces a novel framework for deepfake video detection that integrates the Multi-Scale Spectral-Guided Graph Attention Network (MSG-GAT) with the Lightweight Assimilation-Elimination (Lite-ASEL) algorithm. By representing video frames as graphs, the framework effectively captures intricate pixel relationships, enabling the detection of subtle manipulations with enhanced precision. Additionally, the Lite-ASEL algorithm is employed for feature selection, balancing reduced computational complexity with high detection performance. Experimental results demonstrate the superiority of the proposed framework, achieving state-of-the-art performance with an AUC of 99.1 % and a detection accuracy of 99.3%. Furthermore, hyperparameter tuning confirms the framework's robustness and efficiency, consistently achieving an optimal objective score of 98.54%, validating its effectiveness for optimal feature selection and deepfake detection.;2768-1831;979-8-3315-0993-4;10.1109/ISDFS65363.2025.11011972;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011972;"Graph Neural Network;Convolutional Neural Network;Content Manipulation;Deepfake Video Detection;Feature Selection";"Deepfakes;Accuracy;Scalability;Image edge detection;Feature extraction;Robustness;Graph neural networks;Synchronization;Security;Tuning";;1;;24;IEEE;2 Jun 2025;24-25 April 2025;24-25 April 2025;IEEE;IEEE Conferences
GC-ConsFlow: Leveraging Optical Flow Residuals and Global Context for Robust Deepfake Detection;"J. Chen; M. Hu; D. Zhang; J. Meng";"School of Computer Science and Technology, Changsha University of Science and Technology, Changsha, China; School of Computer Science and Technology, Changsha University of Science and Technology, Changsha, China; School of Computer Science and Technology, Changsha University of Science and Technology, Changsha, China; School of Computer Science and Technology, Changsha University of Science and Technology, Changsha, China";2025 IEEE International Conference on Multimedia and Expo (ICME);30 Oct 2025;2025;;;1;6;The rapid development of Deepfake technology has enabled the generation of highly realistic manipulated videos, posing severe social and ethical challenges. Existing Deepfake detection methods primarily focused on either spatial or temporal inconsistencies, often neglecting the interplay between the two or suffering from interference caused by natural facial motions. To address these challenges, we propose the global context consistency flow (GC-ConsFlow), a novel dual-stream framework that effectively integrates spatial and temporal features for robust Deepfake detection. The global grouped context aggregation module (GGCA), integrated into the global context-aware frame flow stream (GCAF), enhances spatial feature extraction by aggregating grouped global context information, enabling the detection of subtle, spatial artifacts within frames. The flow-gradient temporal consistency stream (FGTC), rather than directly modeling the residuals, it is used to improve the robustness of temporal feature extraction against the inconsistency introduced by unnatural facial motion using optical flow residuals and gradient-based features. By combining these two streams, GC-ConsFlow demonstrates the effectiveness and robustness in capturing complementary spatiotemporal forgery traces. Extensive experiments show that GC-ConsFlow outperforms existing state-of-the-art methods in detecting Deepfake videos under various compression scenarios.;1945-788X;979-8-3315-9495-4;10.1109/ICME59968.2025.11209351;"National Natural Science Foundation of China; Research and Development; Natural Science Foundation of Hunan Province; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209351;"Deepfake Detection;Spatiotemporal Features;Optical Flow Residuals;Global Context Analysis";"Deepfakes;Ethics;Noise;Interference;Feature extraction;Robustness;Forgery;Spatiotemporal phenomena;Optical flow;Context modeling";;1;;21;IEEE;30 Oct 2025;30 June-4 July 2025;30 June-4 July 2025;IEEE;IEEE Conferences
Deepfake Detection Using Graph Representation with Multi-dimensional Features;"J. Chen; W. Lin; J. Xu";"School of Computer and Cyber Sciences Communication University of China, Beijing, China; School of Computer and Cyber Sciences Communication University of China, Beijing, China; School of Computer and Cyber Sciences Communication University of China, Beijing, China";2023 IEEE Smart World Congress (SWC);1 Mar 2024;2023;;;717;722;The proliferation of fake video poses a significant threat to the authority and authenticity of news across multiple domains. The most existing methods of deepfake detection primarily focus on identifying the face as a whole in a video, ignoring the correlation between the facial components. However, our investigation indicates that constituent potions of a face have different effects in deepfake detection. To address this issue, we divided the face in a video frame into several regions and explored the relationship between these regions. Our approach involves constructing a feature graph of this correlation, aiming to make use of the relationship and temporal characteristics between regions of a face in a deepfake video. To begin with, the features of each facial region are extracted through CNN. Subsequently, the feature graph of the entire video is constructed with these features being the vertices and the correlation being the edge. A graph neural network is finally utilized to determine whether the video has been tampered with. Our experiments on several publicly accessible datasets demonstrate that the proposed approach outperforms other state-of-the-art deepfake detection techniques in most scenarios.;;979-8-3503-1980-4;10.1109/SWC57546.2023.10449093;"Research and Development; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449093;"graph representation;deepfake detection;temporal characteristics";"Deepfakes;Correlation;Image edge detection;Logic gates;Feature extraction;Graph neural networks;Faces";;3;;28;IEEE;1 Mar 2024;28-31 Aug. 2023;28-31 Aug. 2023;IEEE;IEEE Conferences
A Dual-Network Architecture with Uncertainty-Aware Multimodal Fusion for Deepfake Detection;Y. Guo;Dalhousie University, Halifax, Canada;2025 6th International Conference on Computer Engineering and Application (ICCEA);13 Aug 2025;2025;;;1809;1813;The detection of AI-generated content, particularly deepfakes, has become a critical issue due to the growing sophistication of generative models. This paper presents MUFDNet, a novel multimodal deepfake detection model that uses paired image and audio data for improved detection accuracy. The model integrates a Vision Transformer (ViT) for image feature extraction and a Graph Neural Network (GGCN) for audio spectrum analysis. By incorporating uncertainty-aware fusion and cross-modal attention mechanisms, MUF-DNet enhances the robustness and generalization of the detection process. Contrastive learning is employed to improve the semantic consistency between the visual and auditory features. Our experiments show that MUF-DNet outperforms existing models in terms of accuracy, precision, recall, and F1 score, demonstrating its potential for deepfake detection in real-world applications.;2159-1288;979-8-3315-4330-3;10.1109/ICCEA65460.2025.11103067;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11103067;"Deepfake detection;multimodal learning;uncertainty-aware fusion;Vision Transformer;Graph Neural Network;contrastive learning";"Deepfakes;Computer vision;Visualization;Accuracy;Uncertainty;Contrastive learning;Transformers;Robustness;Graph neural networks;Spectral analysis";;;;10;IEEE;13 Aug 2025;25-27 April 2025;25-27 April 2025;IEEE;IEEE Conferences
WaveGuard: Robust Deepfake Detection and Source Tracing via Dual-Tree Complex Wavelet and Graph Neural Networks;"Z. He; Z. Guo; L. Wang; G. Yang; Y. Diao; D. Ma";"College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Computer Science, Hefei University of Technology, Hefei, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China";IEEE Transactions on Circuits and Systems for Video Technology;;2025;PP;99;1;1;Deepfake technology has great potential in the field of media and entertainment, but it also brings serious risks, including privacy disclosure and identity fraud. To counter these threats, proactive forensic methods have become a research hotspot by embedding invisible watermark signals to build active protection schemes. However, existing methods are vulnerable to watermark destruction under malicious distortions, which leads to insufficient robustness. Moreover, embedding strong signals may degrade image quality, making it challenging to balance robustness and imperceptibility. Although watermarked images look natural, their underlying structures are often different from the original images, which is ignored by traditional watermarking methods. To address these issues, this paper proposes a proactive watermarking framework called WaveGuard, which explores frequency domain embedding and graph-based structural consistency optimization. In this framework, the watermark is embedded into the high-frequency sub-bands by dual-tree complex wavelet transform (DT-CWT) to enhance the robustness against distortions and deepfake forgeries. By leveraging joint sub-band correlations and selected sub-band combinations, the framework enables robust source tracing and semi-robust deepfake detection. To enhance imperceptibility, we propose a Structural Consistency Graph Neural Network (SC-GNN) that constructs graph representations of the original and watermarked images to ensure structural consistency and reduce perceptual artifacts. Experimental results show that the proposed method performs exceptionally well in face swap and face replay tasks. The code has been published at https://github.com/vpsg-research/WaveGuard.;1558-2205;;10.1109/TCSVT.2025.3628951;"National Natural Science Foundation of China(grant numbers:62302427,62462060); Natural Science Foundation of Xinjiang Uygur Autonomous Region(grant numbers:2023D01C175); Tianshan Talent Training Program(grant numbers:2022TSYCLJ0036);";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224900;"Deepfake Detection;Source Tracing;Frequency-domain Embedding;Graph Neural Network (GNN)";"Watermarking;Deepfakes;Robustness;Distortion;Faces;Feature extraction;Perturbation methods;Graph neural networks;Training;Frequency-domain analysis";;1;;;IEEE;4 Nov 2025;;;IEEE;IEEE Early Access Articles
An Effective Approach for Deepfake Video Detection using Binarized Neural Network;"P. K; A. Pandey; B. Rudra";"Department of Information Technology, National Institute of Technology, Surathkal, Karnataka, India; Department of Information Technology, National Institute of Technology, Surathkal, Karnataka, India; Department of Information Technology, National Institute of Technology, Surathkal, Karnataka, India";2025 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI);9 May 2025;2025;3;;1;6;The rise of DeepFake technologies, especially in audio and video, poses significant threats to information integrity, security, and privacy. Artificially driven Artificial Intelligence (AI) methods and their advancement make it difficult to trace synthetic media through deepfakes that closely approximate real speech, facial expressions, and body movements. Consequently, traditional methods of detecting these are losing the race because they cannot compete with the newly invented methods that are more advanced in comparison. This paper proposes a lightweight and scalable approach to deepfake video detection using Binarized Neural Networks (BNNs). We integrate BNNs with Convolutional Neural Networks (CNNs) and Multi-task Cascaded Convolutional Networks (MTCNN) to boost feature extraction and analysis while making sure that this is done at a computational efficiency, especially to be deployed in resource-constrained systems such as mobile and embedded devices. The binarization of network weights and activations naturally deals with the trade-off regarding detection accuracy and computational cost. Our approach introduces a practical solution for real-time deepfake detection, thus advancing toward more secure and trusted digital environments. Our proposed model has achieved an accuracy of 80%.;;979-8-3315-2169-1;10.1109/IATMSI64286.2025.10984516;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10984516;"Deepfake Detection;Convolutional Neural Networks;Binarized Neural Networks;Video Processing;Multitask Cascaded Convolutional Networks";"Deepfakes;Technological innovation;Accuracy;Neural networks;Streaming media;Real-time systems;Computational efficiency;Convolutional neural networks;Security;Artificial intelligence";;1;;14;IEEE;9 May 2025;6-8 March 2025;6-8 March 2025;IEEE;IEEE Conferences
Deepfake Detection with Spatio-Temporal Consistency and Attention;"Y. Chen; N. Akhtar; N. A. H. Haldar; A. Mian";"The University of Western Australia, Perth, Australia; The University of Western Australia, Perth, Australia; The University of Western Australia, Perth, Australia; The University of Western Australia, Perth, Australia";2022 International Conference on Digital Image Computing: Techniques and Applications (DICTA);10 Feb 2023;2022;;;1;8;Deepfake videos are causing growing concerns among communities due to their ever-increasing realism. Naturally, automated detection of forged Deepfake videos is attracting a proportional amount of interest of researchers. Current methods for detecting forged videos mainly rely on global frame features and under-utilize the spatio-temporal inconsistencies found in the manipulated videos. Moreover, they fail to attend to manipulation-specific subtle and well-localized pattern variations along both spatial and temporal dimensions. Addressing these gaps, we propose a neural Deepfake detector that focuses on the localized manipulative signatures of the forged videos at individual frame level as well as frame sequence level. Using a ResNet backbone, it strengthens the shallow frame-level feature learning with a spatial attention mechanism. The spatial stream of the model is further helped by fusing texture enhanced shallow features with the deeper features. Simultaneously, the model processes frame sequences with a distance attention mechanism that further allows fusion of temporal attention maps with the learned features at the deeper layers. The overall model is trained to detect forged content as a classifier. We evaluate our method on two popular large data sets and achieve significant performance over the state-of-the-art methods. Moreover, our technique also provides memory and computational advantages over the competitive techniques,;;978-1-6654-5642-5;10.1109/DICTA56598.2022.10034609;"ARC(grant numbers:DP190102443);";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034609;"Attention;Deepfake;Detection;Video analysis";"Representation learning;Deepfakes;Fuses;Digital images;Detectors;Performance gain;Feature extraction;Time-domain analysis;Task analysis;Optical flow";;7;;59;IEEE;10 Feb 2023;30 Nov.-2 Dec. 2022;30 Nov.-2 Dec. 2022;IEEE;IEEE Conferences
