"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords"
"Chen, Z.; Wang, S.; Wang, Z.","Chen, Zhong (57103925800); Wang, Siyang (55805815000); Wang, Zuxi (7410051639)","57103925800; 55805815000; 7410051639","Dual-stream temporal-spatial forgery detection via phase-consistent edge features and 3D visual state-space modeling","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015384367&partnerID=40&md5=2041ac6891834f5d8773a64c8ac9317d","Deepfake, as a generative technology, has opened up new avenues for the development of the film, television, and art industries. However, its abusive use has triggered serious social security threats, such as infringement of portrait rights and the spread of misinformation, which has drawn widespread attention to research on deepfake detection techniques. Current deep learning-based face forgery detection methods face critical challenges: 1) insufficient focus on common forgery traces leads to poor generalization performance on datasets generated by unknown forgery methods; 2) traditional spatio-temporal feature fusion mechanisms struggle to balance the representational weights of spatial details and temporal dynamics, and exhibit inadequate robustness against post-processing operations like compression and cropping. To address these issues, this paper first designs a phase consistency edge artifact mining module is designed to extract common forgery traces from edge textures by leveraging the deep-phase information of images, significantly enhancing the model's generalization ability. Second, a multi-frame synthesis strategy is designed to effectively integrate spatial and temporal features while balancing the network's attention to these two feature domains. Third, a visual state-space model based on 3D scanning is designed, which for the first time employs the Mamba model to analyze spatio-temporal forgery patterns, notably improving the robustness of the model against unknown perturbations. Experimental results on standard benchmarks–FaceForensics++, Celeb-DFv2, WildDeepfake and DFDC(Preview)–demonstrate that the proposed method achieves state-of-the-art performance in three core dimensions: detection accuracy, cross-dataset generalization, and robustness against perturbations. © 2025 Elsevier Ltd","Deepfake detection; Multi-frame synthesis; Phase consistency; Visual state-space model"
"T.; Li, G.; Xiao, Y.; Tian, H.; Cao, Y.","; Li, Gen (59736920700); Xiao, Yanhui (36697381400); Tian, Huawei (36615909900); Cao, Yun (55470378800)","60231562700; 59736920700; 36697381400; 36615909900; 55470378800","Enhanced deepfake detection via dynamic data augmentation and spatiotemporal attention","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024347588&partnerID=40&md5=dfbab16a02c2f9e55ed2f36bf6dc384b","Recent advancements in Deepfake technology have raised significant concerns regarding the authenticity of online media. Misuse of Deepfakes poses threats to privacy and economic security. To address the generalization issues faced by existing Deepfake detection methods, we propose a novel framework combining forgery-aware Dynamic Data Augmentation (DDA) and Cross-Frame Multi-Head Attention (CMA). DDA generates forgery heatmaps using spatial features extracted by Swin Transformer, guiding region-level data augmentation dynamically. CMA extracts temporal inconsistencies across frames using spatial features. Spatiotemporal features are fused and fed into a Bidirectional GRU (Bi-GRU) to model sequential dependencies. Extensive experiments demonstrate that our framework outperforms state-of-the-art methods in cross-compression and cross-forgery-type evaluations. Our code and datasets are publicly available at https://github.com/luanmianv/DDA-CMA. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","Cross-frame multi-head attention; Deepfake detection; Dynamic data augmentation; Spatiotemporal feature fusion"
"Nguyen, N.M.; Thuan, N.D.","Nguyen, Minh Nhut (57212857862); Thuan, Nguyen Dinh (55520800900)","57212857862; 55520800900","MobilKAN-H: Cross-Dataset Deepfake Detection Using a Hybrid MobileNet-LSTM-HMM-KAN Architecture","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638416&partnerID=40&md5=6ebec32c52ff567c641b36fa8ca38ac1","Deepfakes threaten the trustworthiness of online media and public discourse. We present a lightweight yet effective hybrid for facial deepfake detection that couples MobileNet spatial encoders with sequence-level LSTM, probabilistic Hidden Markov Models (HMM) for temporal regularization, and Kolmogorov–Arnold Networks (KAN) for adaptive, interpretable nonlinear modeling. On FaceForensics++ and Celeb-DF v2—two widely used and challenging benchmarks—our best variant achieves strong cross-validated accuracy, outperforming both our baselines and previously reported methods on these datasets. We report precision, recall, F1-score, and AUC, and discuss training choices that yield robust generalization under video compression. Our results suggest that combining LSTM-based sequence modeling with HMM smoothing and KAN adapters is a practical path toward reliable, low-latency deepfake screening in real-world pipelines. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Celeb-DF v2; Deepfake detection; FaceForensics++; Hidden Markov Model; Kolmogorov–Arnold Network; LSTM; MobileNet"
"Zhang, L.; Liu, B.; Chu, Q.; Yu, N.","Zhang, Li (60200276300); Liu, Bin (56431524800); Chu, Qi (57219372015); Yu, Neng-Hai (7201981769)","60200276300; 56431524800; 57219372015; 7201981769","Multimodal Consistency-Driven Deepfake Detection","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022185336&partnerID=40&md5=cf82fedb6880b93b0cf94a189f1253e8","The emergence of multimodal deepfake videos demands detection systems that address synchronized audio-visual manipulations. We present AVMCD, a novel framework combining dual-stream transformer architecture with cross-modal consistency verification. Our solution introduces three key innovations: (1) Joint spatiotemporal modeling using Video Vision Transformers (ViViT) for facial dynamics and Audio Spectrogram Transformers (AST) for spectral speech patterns; (2) A synchronization analysis module employing cross-module features to detect audio-visual temporal mismatches; (3) Hybrid learning integrating one-class classification with multi-task consistency constraints. The framework overcomes critical limitations in existing approaches by explicitly modeling cross-modal interactions while preventing overfitting to single-modality artifacts. Comprehensive evaluations on FakeAVCeleb demonstrate state-of-the-art performance with 96.1% ACC, surpassing leading audio-visual methods by 12.4% ACC improvement. This work establishes a new paradigm for multimodal deepfake detection through systematic integration of transformer-based feature fusion and physiological consistency verification. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Audio-visual Consistency; Deepfake detection; Transformer networks"
"Ben Jabra, M.; Cheikhrouhou, O.; BenAmor, A.","Ben Jabra, Marwa (57195283226); Cheikhrouhou, Omar (35112771500); BenAmor, Anouar (56912231600)","57195283226; 35112771500; 56912231600","Leveraging temporal attention and bidirectional modeling for robust deepfake video detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021244301&partnerID=40&md5=c9780b50f99ee54d84524e35d6c27c58","The growing sophistication of deepfake videos threatens media authenticity, requiring detectors that are accurate and robust to real-world distortions. We design and compare two deep learning architectures for video-based detection. The baseline fuses ResNeXt50 with a unidirectional LSTM, while the proposed model combines EfficientNet-B0 with a Bidirectional LSTM and temporal attention to capture bidirectional dependencies and emphasize informative frames. Both are trained and evaluated on Celeb-DF v2 under identical settings for fair comparison. Results show the proposed model outperforms the baseline, reaching 95.3% accuracy and a ROC-AUC of 0.981. These findings highlight the value of efficient convolutional encoders with temporal attention for interpretable and competitive deepfake detection, with applications in media forensics and verification. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.","BiLSTM; Celeb-DF v2; Deep learning; Deepfake detection; EfficientNet; LSTM; Media authenticity; ResNeXt; Spatiotemporal modeling; Temporal attention; Video forensics"
"Han, R.; Wang, X.; Bai, N.; Hou, J.; Zhang, W.; Li, J.","Han, Ruidong (58199903300); Wang, Xiaofeng (7501854020); Bai, Ningning (58102462000); Hou, Jianpeng (58861477200); Zhang, Wenshuo (60041028100); Li, Jianghua (55800222700)","58199903300; 7501854020; 58102462000; 58861477200; 60041028100; 55800222700","HSFF-Net: Hierarchical spectral-feature fusion network for deepfake detection and localization","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013114740&partnerID=40&md5=66d399fe80dc48060d8a44e3daa35710","The rapid development of deepfake techniques poses a serious threat to multimedia authenticity, driving increased attention to deepfake detection. However, most existing methods focus solely on classification while overlooking forgery localization, which is essential for understanding manipulation intent. To address this issue, we propose a novel Hierarchical Spectral-Feature Fusion Network (HSFF-Net) for deepfake detection and localization from spatial- and frequency-domain views. Specifically, the Spectral Detail Amplification (SDA) module enhances tampering cues around facial features in the frequency domain. The Dynamic Collaborative Fusion (DCF) unit integrates complementary dual-stream features across multiple hierarchical levels to highlight valuable information. The Adaptive Feature Elevation (AFE) module bridges coarse semantic and fine-grained details in a top-down manner. Furthermore, the Global Guidance Exposure (GGE) module injects localization cues across feature levels to improve forgery localization accuracy. Additionally, we design the contrastive clustering loss for the detection task, which guides features to cluster around their corresponding class centers while simultaneously pushing them away from other class centers, thereby promoting intra-class compactness and inter-class separability. Abundant experiments demonstrate that HSFF-Net achieves superior performance on both detection and localization tasks, with good generalization across diverse datasets and robustness against various perturbations. © 2025","Adaptive feature elevation; Contrastive clustering loss; Deepfake detection and localization; Dynamic collaborative fusion; Global guidance exposure; Spectral detail amplification"
"Xu, W.; Wu, J.; Lu, W.; Luo, X.; Wang, Q.","Xu, Wenbo (57222359967); Wu, Junyan (58937430900); Lu, Wei (57715097700); Luo, Xiangyang (8976166200); Wang, Qian (56856235900)","57222359967; 58937430900; 57715097700; 8976166200; 56856235900","A Multimodal Deviation Perceiving Framework for Weakly-Supervised Temporal Forgery Localization","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024076843&partnerID=40&md5=38b7f20dc18f1273e71edabd0fc77f1d","Current researches on Deepfake forensics often treat detection as a classification task or temporal forgery localization problem, which are usually restrictive, time-consuming, and challenging to scale for large datasets. To resolve these issues, we present a multimodal deviation perceiving framework for weakly-supervised temporal forgery localization (MDP), which aims to identify temporal partial forged segments using only video-level annotations. The MDP proposes a novel multimodal interaction mechanism (MI) and an extensible deviation perceiving loss to perceive multimodal deviation, which achieves the refined start and end timestamps localization of forged segments. Specifically, MI introduces a temporal property preserving cross-modal attention to measure the relevance between the visual and audio modalities in the probabilistic embedding space. It could identify the inter-modality deviation and construct comprehensive video features for temporal forgery localization. To explore further temporal deviation for weakly-supervised learning, an extensible deviation perceiving loss has been proposed, aiming at enlarging the deviation of adjacent segments of the forged samples and reducing that of genuine samples. Extensive experiments demonstrate the effectiveness of the proposed framework and achieve comparable results to fully-supervised approaches in several evaluation metrics. © 2025 ACM.","deepfake detection; multimodal; temporal forgery localization; weakly-supervised"
"Babu, V.S.; Sathya, M.; Maheshwari, R.U.; Subha, K.J.","Babu, V. Suresh (59995030000); Sathya, Mariappan Arul (57516794700); Maheshwari, R. Uma (59454701500); Subha, K. J. (57503532300)","59995030000; 57516794700; 59454701500; 57503532300","Deepfake Detection Utilizing Enhanced Silicon-Based Physically Unclonable Functions Integrated with Photonic Crystal Fiber Sensor","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010591738&partnerID=40&md5=6d6839e3d34a1ddf89979ac92475145c","This study introduces an advanced silicon-based physically unclonable function (PUF) integrated with Photonic Crystal Fiber (PCF) sensors, aimed at enhancing the robustness and reliability in deepfake detection devices. Leveraging the inherent unpredictability of silicon-based Physical Unclonable Functions (PUFs), combined with the sensitivity of PCF sensors, we propose a novel system for secure, accurate deepfake image detection utilizing hybrid Convolutional Neural Networks (CNN) and Long Short-Term Memory (LSTM) networks. The proposed architecture demonstrates significant improvement, achieving an average detection accuracy of 98.6%, surpassing existing models by 7.3%. Additionally, our integrated approach exhibits enhanced robustness, reducing false-positive rates by 15% and false negatives by 13.2% compared to conventional methods. Experimental evaluations confirm that the integration of silicon-based PUFs with PCF sensors not only strengthens the resilience against adversarial attacks but also enhances reliability under varying environmental conditions. This work offers a promising pathway toward advanced, secure, and high-performance deepfake detection solutions, suiTable for real-world deployment in cybersecurity applications. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Convolutional neural networks (CNN) and long short-term memory (LSTM) networks; Deepfake detection; Photonic crystal fiber (PCF) sensors; Physically unclonable functions (PUFs); Silicon PUFs"
"Zha, R.; Lian, Z.; Li, Q.","Zha, Ruiqi (57222155916); Lian, Zhichao (55822749800); Li, Qianmui Mu (8231309800)","57222155916; 55822749800; 8231309800","Centroid-based Contrastive Consistency Learning for transferable deepfake detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001413488&partnerID=40&md5=f72b66751f969d1229e60a9c69bbae99","Previous research efforts in deepfake detection mainly concentrated on identifying and differentiating artifacts discernible to humans. Those methods have left a bias in learned models, as they tend to concentrate on the disparities between forged and natural regions from the perspective of a single sample while overlooking consistency within categories from the perspective of the entire sample set, which remains crucial across various real-world applications. Therefore, inspired by contrastive learning, we tackle the deepfake detection problem by learning the invariant representations of both categories. Our proposed method, termed Centroid-based Contrastive Consistency Learning (C3L) method, integrates constraints on representations at both the data preprocessing and feature extraction stages. Specifically, during data preprocessing, we consider both temporal relationships within videos and the latent relationships within synthesis data. We introduce a novel Positive Enhancement Module (PEM) designed to characterize natural and forged samples in a facial semantically irrelevant way, thereby guiding a task-oriented positive pair contrasting strategy. In addition, at the feature extraction stage, we introduce the Margin Feature Simulation Module (MFSM), which leverages the centroid of the natural category to simulate marginal features for both categories. Subsequently, we employ the Supervised Contrastive Margin Loss (SCML), utilizing simulated features to emphasize differences at decision boundaries and optimize the learning process. The effectiveness and robustness of the proposed method have been demonstrated through extensive experiments. © 2025 Elsevier B.V.","Contrastive learning; Deep learning; Deepfake detection; Outlier detection"
"Khudhur, R.Z.; Mohammed, M.A.","Khudhur, Raman Z. (60080148000); Mohammed, Marwan Aziz (56494313300)","60080148000; 56494313300","A Spatio-Temporal Deep Learning Approach for Efficient Deepfake Video Detection","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014768493&partnerID=40&md5=ae4cd97a0dd94dd0274a85dd07694c87","—Deepfake videos have grown to be a big concern in the modern digital media landscape as they cause difficulties undermining the legitimacy of channels of information and communication. Humans often find it challenging to tell the difference between a fake and a genuine video due to the increasing realism of facial deepfakes. Identification of these misleading materials is the first step in preventing deepfakes from spreading through social media. This work introduces Spatio-temporal Intelligent Deepfake Detector (STIDD), a deep learning system including enhanced spatial and temporal modeling techniques. By means of a pre-trained EfficientNetV2-B0 model, the proposed framework efficiently extracts spatial characteristics from each frame, subsequently, and Bidirectional Long Short-Term Memory layers help to capture temporal relationships from video sequences. We evaluate STIDD on the FaceForensics++ (FF++) dataset encompassing all five manipulation techniques (DeepFakes, FaceSwap, Face2Face, FaceShifter, and NeuralTextures). The experimental results reveal that STIDD achieved precision, recall, and F1-scores all higher than 0.99 and a final test accuracy of 99.51% on the combined FF++ test set. The results demonstrate that the integration of sophisticated spatial extraction and strong temporal modeling allows STIDD to achieve high detection performance while maintaining computing efficiency at just 0.39 Giga Floating-Point Operations (GFLOPs) per inference. © 2025 Raman Z. Khudhur and Marwan A. Mohammed.","Deepfake detection; EfficientNet; Index Terms—Deep learning; Spatio-temporal modeling"
